territory,building_type,osmid,coord,distance,rise,fall
Uribarri,N/A,W248634544,"(43.26459250062579, -2.9231745754982787)",294.53600000000006,11.499999999980183,7.500000000029729
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",328.47799999999995,19.00000000006441,8.500000000113959
Abando,N/A,W28776478,"(43.259963913422865, -2.9284384320288925)",464.45899999999995,21.500000000138737,8.500000000143695
Abando,N/A,W44113519,"(43.25993749738077, -2.9264652360563534)",476.67499999999995,19.00000000006441,14.500000000084233
Abando,N/A,W41688628,"(43.26399354682828, -2.9308926528671213)",477.6209999999999,15.000000000034674,0.5000000000049525
Uribarri,N/A,N4508853267,"(43.2655628, -2.9205809)",534.7280000000001,27.499999999955413,7.500000000029729
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",550.8609999999999,26.000000000138733,8.500000000113962
Ibaiondo,N/A,W485363913,"(43.25997684824978, -2.9220146785419328)",611.4270000000001,14.000000000079275,10.500000000059458
Abando,N/A,N3207631929,"(43.2618877, -2.9308223)",646.185,15.000000000000007,7.105427357601002e-15
Ibaiondo,N/A,W108497734,"(43.25874273518262, -2.9247747311690637)",677.1470000000002,14.000000000064412,14.500000000054504
