territory,building_type,osmid,coord,distance,rise,fall
Abando,railway_subway_entrance,N571807591,"(43.2627294, -2.9461016)",136.676,2.500000000059458,6.000000000000007
Abando,amenity_school,W185201414,"(43.26374906018535, -2.9450893559191655)",298.621,3.0000000000594618,10.000000000014875
Basurtu-Zorrotza,railway_subway_entrance,N571807589,"(43.2625437, -2.9481923)",363.19199999999995,8.500000000059472,10.000000000024798
Abando,amenity_place_of_worship,N2326472794,"(43.2627187, -2.9432415)",454.534,5.500000000079275,11.0000000000446
Abando,amenity_police,N4105324002,"(43.2641634, -2.9434159)",463.384,5.500000000079275,11.000000000019828
Basurtu-Zorrotza,tourism_museum,N5308301923,"(43.2640855, -2.9481789)",464.542,9.00000000017835,10.000000000034692
Basurtu-Zorrotza,leisure_stadium,N11865822545,"(43.2641013, -2.9482607)",464.542,9.00000000017835,10.000000000034692
Basurtu-Zorrotza,leisure_stadium,W59171758,"(43.264171286696644, -2.9493828668461135)",496.48499999999996,12.500000000084242,10.000000000024798
Basurtu-Zorrotza,railway_subway_entrance,N4458552191,"(43.2626804, -2.9495871)",498.21400000000006,12.500000000084249,10.000000000024805
Basurtu-Zorrotza,building_train_station,W163195554,"(43.26264074937047, -2.949647750879721)",499.97400000000005,12.500000000084249,10.000000000024805
Basurtu-Zorrotza,building_train_station,W163128700,"(43.261459197014496, -2.948830847035061)",506.7259999999999,10.50000000010407,11.00000000003967
Basurtu-Zorrotza,railway_subway_entrance,N6139261848,"(43.2614654, -2.9489264)",511.07799999999986,10.50000000010407,11.00000000003967
Abando,railway_subway_entrance,N571809293,"(43.2612436, -2.9423379)",523.684,11.000000000044604,9.999999999990113
Abando,amenity_school,W174482524,"(43.26103224056917, -2.943555683435342)",561.785,8.500000000059472,12.500000000039662
Abando,tourism_museum,N518227646,"(43.2661789, -2.9463066)",580.665,4.5000000001585425,31.00000000012387
Abando,amenity_theatre,N11882322969,"(43.2662156, -2.9463144)",580.665,4.5000000001585425,31.00000000012387
Abando,amenity_library,N4761972760,"(43.2642641, -2.9429738)",581.027,8.000000000039648,17.500000000009926
Basurtu-Zorrotza,building_public,N1848293667,"(43.2622397, -2.9510612)",617.483,15.500000000099114,11.00000000003471
Abando,railway_subway_entrance,N510562751,"(43.2606628, -2.94272)",656.624,11.00000000000993,11.999999999985164
Basurtu-Zorrotza,amenity_place_of_worship,W521860095,"(43.25903349804755, -2.9482902674061107)",674.5120000000001,16.500000000039655,11.499999999985157
Abando,building_train_station,W41584747,"(43.25823481651728, -2.946006178624259)",685.3709999999999,16.500000000059472,9.000000000049575
Basurtu-Zorrotza,railway_subway_entrance,N4944875063,"(43.2594993, -2.9525533)",977.5609999999999,25.50000000007435,12.000000000049589
