name,building_type_name,osm_id,geometry,lat,lon
building_0,railway_subway_entrance,N412182737,POINT (-2.93431 43.2631551),43.2631551,-2.93431
building_1,railway_subway_entrance,N412183223,POINT (-2.9280532 43.2620126),43.2620126,-2.9280532
building_2,railway_subway_entrance,N482329037,POINT (-2.921633 43.2586228),43.2586228,-2.921633
building_3,railway_subway_entrance,N482482838,POINT (-2.9134248 43.2538346),43.2538346,-2.9134248
building_4,railway_subway_entrance,N482482839,POINT (-2.9131365 43.2554699),43.2554699,-2.9131365
building_5,railway_subway_entrance,N482482840,POINT (-2.9147211 43.2540666),43.2540666,-2.9147211
building_6,railway_subway_entrance,N506170042,POINT (-2.9114436 43.2506056),43.2506056,-2.9114436
building_7,railway_subway_entrance,N506170049,POINT (-2.9105707 43.2507365),43.2507365,-2.9105707
building_8,railway_subway_entrance,N510562751,POINT (-2.94272 43.2606628),43.2606628,-2.94272
building_9,railway_subway_entrance,N559203040,POINT (-2.9198909 43.2602464),43.2602464,-2.9198909
building_10,railway_subway_entrance,N560562265,POINT (-2.9277874 43.261338),43.261338,-2.9277874
building_11,railway_subway_entrance,N571803298,POINT (-2.9621471 43.2799418),43.2799418,-2.9621471
building_12,railway_subway_entrance,N571803299,POINT (-2.9618836 43.2800193),43.2800193,-2.9618836
building_13,railway_subway_entrance,N571803300,POINT (-2.9629953 43.2814585),43.2814585,-2.9629953
building_14,railway_subway_entrance,N571803301,POINT (-2.9624547 43.2814367),43.2814367,-2.9624547
building_15,railway_subway_entrance,N571803302,POINT (-2.9626287 43.2813449),43.2813449,-2.9626287
building_16,railway_subway_entrance,N571805608,POINT (-2.9494558 43.2718219),43.2718219,-2.9494558
building_17,railway_subway_entrance,N571807589,POINT (-2.9481923 43.2625437),43.2625437,-2.9481923
building_18,railway_subway_entrance,N571807591,POINT (-2.9461016 43.2627294),43.2627294,-2.9461016
building_19,railway_subway_entrance,N571809293,POINT (-2.9423379 43.2612436),43.2612436,-2.9423379
building_20,railway_subway_entrance,N571811758,POINT (-2.9345259 43.2626209),43.2626209,-2.9345259
building_21,railway_subway_entrance,N571811759,POINT (-2.933751 43.2626609),43.2626609,-2.933751
building_22,railway_subway_entrance,N571811762,POINT (-2.9325297 43.261957),43.261957,-2.9325297
building_23,amenity_place_of_worship,N603714638,POINT (-2.9151798 43.2567944),43.2567944,-2.9151798
building_24,amenity_place_of_worship,N610953374,POINT (-2.9109833 43.2654928),43.2654928,-2.9109833
building_25,amenity_place_of_worship,N620032721,POINT (-2.9120957 43.2631793),43.2631793,-2.9120957
building_26,railway_subway_entrance,N652111388,POINT (-2.9494092 43.2705875),43.2705875,-2.9494092
building_27,amenity_place_of_worship,N707156296,POINT (-2.9480119 43.274857),43.274857,-2.9480119
building_28,amenity_place_of_worship,N1048012605,POINT (-2.9338091 43.2484729),43.2484729,-2.9338091
building_29,railway_subway_entrance,N1492351351,POINT (-2.9281878 43.2614269),43.2614269,-2.9281878
building_30,amenity_school,N1759584097,POINT (-2.9510542 43.2722245),43.2722245,-2.9510542
building_31,railway_subway_entrance,N1851625175,POINT (-2.9400076 43.2608046),43.2608046,-2.9400076
building_32,amenity_place_of_worship,N1892943135,POINT (-2.9132959 43.2558594),43.2558594,-2.9132959
building_33,amenity_school,N2280741197,POINT (-2.9098373 43.2556644),43.2556644,-2.9098373
building_34,amenity_place_of_worship,N2326472794,POINT (-2.9432415 43.2627187),43.2627187,-2.9432415
building_35,amenity_place_of_worship,N2809991335,POINT (-2.933757 43.2655074),43.2655074,-2.933757
building_36,tourism_hostel,N3004608569,POINT (-2.9545458 43.2687748),43.2687748,-2.9545458
building_37,amenity_community_centre,N3066705390,POINT (-2.9746744 43.277338),43.277338,-2.9746744
building_38,amenity_school,N3248077509,POINT (-2.934158 43.2597891),43.2597891,-2.934158
building_39,tourism_hostel,N3837244786,POINT (-2.9253554 43.2578183),43.2578183,-2.9253554
building_40,amenity_place_of_worship,N3954126240,POINT (-2.9372656 43.2627521),43.2627521,-2.9372656
building_41,railway_subway_entrance,N4060532211,POINT (-2.899233 43.2586152),43.2586152,-2.899233
building_42,railway_subway_entrance,N4060532212,POINT (-2.9062238 43.2586207),43.2586207,-2.9062238
building_43,railway_subway_entrance,N4060532213,POINT (-2.9195766 43.2677621),43.2677621,-2.9195766
building_44,railway_subway_entrance,N4060532214,POINT (-2.9131204 43.2641221),43.2641221,-2.9131204
building_45,railway_subway_entrance,N4060532215,POINT (-2.9078566 43.2595093),43.2595093,-2.9078566
building_46,railway_subway_entrance,N4060532216,POINT (-2.9067392 43.2579448),43.2579448,-2.9067392
building_47,railway_subway_entrance,N4060532217,POINT (-2.8980592 43.2581194),43.2581194,-2.8980592
building_48,railway_subway_entrance,N4060532218,POINT (-2.8998266 43.2586896),43.2586896,-2.8998266
building_49,railway_subway_entrance,N4060532220,POINT (-2.9000251 43.2594633),43.2594633,-2.9000251
building_50,railway_subway_entrance,N4060532221,POINT (-2.9213161 43.2670957),43.2670957,-2.9213161
building_51,railway_subway_entrance,N4060532222,POINT (-2.9180824 43.2665934),43.2665934,-2.9180824
building_52,railway_subway_entrance,N4060532223,POINT (-2.9203559 43.2681579),43.2681579,-2.9203559
building_53,railway_subway_entrance,N4060532226,POINT (-2.9134062 43.2648881),43.2648881,-2.9134062
building_54,railway_subway_entrance,N4060532227,POINT (-2.9149249 43.2648784),43.2648784,-2.9149249
building_55,tourism_hostel,N4267974389,POINT (-2.9280257 43.255786),43.255786,-2.9280257
building_56,railway_subway_entrance,N4456565174,POINT (-2.9221643 43.2599587),43.2599587,-2.9221643
building_57,railway_subway_entrance,N4458552191,POINT (-2.9495871 43.2626804),43.2626804,-2.9495871
building_58,railway_subway_entrance,N4508853267,POINT (-2.9205809 43.2655628),43.2655628,-2.9205809
building_59,amenity_community_centre,N4520491591,POINT (-2.917769 43.2535977),43.2535977,-2.917769
building_60,railway_subway_entrance,N4523538788,POINT (-2.925084 43.2689464),43.2689464,-2.925084
building_61,tourism_hostel,N4534865592,POINT (-2.9315768 43.2669773),43.2669773,-2.9315768
building_62,railway_subway_entrance,N4541079485,POINT (-2.9419025 43.2540911),43.2540911,-2.9419025
building_63,railway_subway_entrance,N4541084182,POINT (-2.9438461 43.2547373),43.2547373,-2.9438461
building_64,amenity_school,N4634394695,POINT (-2.920449 43.2571197),43.2571197,-2.920449
building_65,amenity_school,N4634471354,POINT (-2.9204423 43.2571227),43.2571227,-2.9204423
building_66,amenity_school,N4708209443,POINT (-2.9196631 43.2579938),43.2579938,-2.9196631
building_67,amenity_community_centre,N4708423670,POINT (-2.9223392 43.2562643),43.2562643,-2.9223392
building_68,amenity_school,N4714910719,POINT (-2.9260208 43.2618414),43.2618414,-2.9260208
building_69,tourism_hostel,N4737897756,POINT (-2.93537 43.2616418),43.2616418,-2.93537
building_70,amenity_school,N4757644627,POINT (-2.9325122 43.2481224),43.2481224,-2.9325122
building_71,amenity_place_of_worship,N4757644648,POINT (-2.9337821 43.2483414),43.2483414,-2.9337821
building_72,amenity_community_centre,N4844234121,POINT (-2.9228383 43.2587801),43.2587801,-2.9228383
building_73,tourism_hostel,N4847061832,POINT (-2.9190096 43.2593563),43.2593563,-2.9190096
building_74,railway_subway_entrance,N4879362987,POINT (-2.9274814 43.2608021),43.2608021,-2.9274814
