name,osm_id,geometry,lat,lon,index_right,subarea
Edificio San Agustin,W248634544,"POLYGON ((-2.9235928 43.2645349, -2.9233952 43.2644378, -2.9230229 43.2643186, -2.9229228 43.264461, -2.9231292 43.2645482, -2.9232152 43.2645694, -2.9231597 43.2646621, -2.9229769 43.2646315, -2.9228422 43.2645918, -2.9227717 43.2647062, -2.9230392 43.2648119, -2.9232131 43.2648528, -2.9233444 43.2647429, -2.923291 43.2647143, -2.9234006 43.2646266, -2.9234534 43.2646483, -2.9235928 43.2645349))",43.26459250062579,-2.9231745754982787,1,Uribarri
Biblioteca Central de Bidebarrieta,W108497734,"POLYGON ((-2.925071 43.2587055, -2.9250601 43.2586741, -2.9250343 43.258657, -2.9250004 43.2586487, -2.9249702 43.2586474, -2.924878 43.2586588, -2.9248732 43.2586355, -2.9248121 43.2586428, -2.924813 43.2586492, -2.9245801 43.2586715, -2.9245193 43.2586774, -2.9245676 43.2588696, -2.9247596 43.2588501, -2.9248182 43.2588372, -2.9248695 43.2588211, -2.9248609 43.2587933, -2.925015 43.2587701, -2.9250427 43.2587593, -2.9250666 43.2587374, -2.925071 43.2587055))",43.25874273518262,-2.9247747311690637,4,Ibaiondo
Biblioteca municipal de San Ignacio,N10308519810,POINT (-2.9624445 43.2812493),43.2812493,-2.9624445,0,Deusto
Biblioteca Foral,W108504682,"POLYGON ((-2.9326699 43.2614338, -2.9326408 43.2613942, -2.9322224 43.2613119, -2.9320868 43.2613641, -2.9319718 43.2616116, -2.9320186 43.2616233, -2.9320057 43.2616532, -2.9321029 43.2616752, -2.9321143 43.2616469, -2.9321461 43.2615675, -2.9321687 43.2615696, -2.9321351 43.2616524, -2.9324538 43.2617256, -2.9324886 43.2616358, -2.932215 43.2615713, -2.9322258 43.2615537, -2.9324994 43.2616183, -2.9325825 43.2616354, -2.9326699 43.2614338))",43.26150873360247,-2.9323193974511943,5,Abando
Centro Municipal de Solokoetxe,W420558992,"POLYGON ((-2.9205547 43.2569737, -2.9204251 43.2568897, -2.920396 43.2568708, -2.9202869 43.25694, -2.9203274 43.2569662, -2.9203378 43.256973, -2.9202637 43.2570336, -2.9203901 43.2571083, -2.9205547 43.2569737))",43.256988569906525,-2.92040166742721,4,Ibaiondo
Centro Mpal. de Distrito Zabala,N11229801356,POINT (-2.9319814 43.2538282),43.2538282,-2.9319814,4,Ibaiondo
Biblioteca de San Francisco,N5056088727,POINT (-2.9264049 43.2562779),43.2562779,-2.9264049,4,Ibaiondo
Barrio Altamira 39,N5056200430,POINT (-2.9628267 43.2613693),43.2613693,-2.9628267,7,Basurtu-Zorrotza
Centro Mpal. de Zorroza,N11229807742,POINT (-2.9749112 43.2774341),43.2774341,-2.9749112,7,Basurtu-Zorrotza
Centro Mpal. de Distrito Basurto,N9607467466,POINT (-2.9488089 43.2589548),43.2589548,-2.9488089,7,Basurtu-Zorrotza
Centro Mpal. de Irala,N5056183351,POINT (-2.9359224 43.251483),43.251483,-2.9359224,6,Errekalde
Oficina Municipal de Distrito Abando,N4731925117,POINT (-2.9329433 43.2661842),43.2661842,-2.9329433,5,Abando
CEPA Bilbao Uretamendi,W301165234,"POLYGON ((-2.9512008 43.2470148, -2.9510284 43.2469483, -2.9509996 43.2469371, -2.9507597 43.2472665, -2.9509609 43.2473443, -2.9510664 43.2471994, -2.9511892 43.2470307, -2.9512008 43.2470148))",43.24714070207488,-2.9509802354261194,6,Errekalde
Centro Mpal. de Distrito Rekalde,N9607455457,POINT (-2.9481901 43.252218),43.252218,-2.9481901,6,Errekalde
Oficina Municipal de Distrito Uribarri,W48045715,"POLYGON ((-2.9127986 43.2647187, -2.9127754 43.2645045, -2.9125092 43.2645198, -2.9125324 43.264734, -2.9127986 43.2647187))",43.26461925000001,-2.912653900000001,1,Uribarri
Centro Mpal. de Distrito San Ignacio,N5056421870,POINT (-2.9587254 43.2773644),43.2773644,-2.9587254,0,Deusto
Centro Mpal. de Castanos,N9607363904,POINT (-2.9265437 43.2682033),43.2682033,-2.9265437,1,Uribarri
