name,building_type_name,osm_id,geometry,lat,lon,index_right,subarea
building_0,railway_subway_entrance,N412182737,POINT (-2.93431 43.2631551),43.2631551,-2.93431,5.0,Abando
building_1,railway_subway_entrance,N412183223,POINT (-2.9280532 43.2620126),43.2620126,-2.9280532,5.0,Abando
building_2,railway_subway_entrance,N482329037,POINT (-2.921633 43.2586228),43.2586228,-2.921633,4.0,Ibaiondo
building_3,railway_subway_entrance,N482482838,POINT (-2.9134248 43.2538346),43.2538346,-2.9134248,3.0,Begona
building_4,railway_subway_entrance,N482482839,POINT (-2.9131365 43.2554699),43.2554699,-2.9131365,3.0,Begona
building_5,railway_subway_entrance,N482482840,POINT (-2.9147211 43.2540666),43.2540666,-2.9147211,3.0,Begona
building_6,tourism_museum,N498483153,POINT (-2.9204165 43.2581854),43.2581854,-2.9204165,4.0,Ibaiondo
building_7,railway_subway_entrance,N506170042,POINT (-2.9114436 43.2506056),43.2506056,-2.9114436,3.0,Begona
building_8,railway_subway_entrance,N506170049,POINT (-2.9105707 43.2507365),43.2507365,-2.9105707,3.0,Begona
building_9,railway_subway_entrance,N510562751,POINT (-2.94272 43.2606628),43.2606628,-2.94272,5.0,Abando
building_10,tourism_museum,N518227646,POINT (-2.9463066 43.2661789),43.2661789,-2.9463066,5.0,Abando
building_11,railway_subway_entrance,N559203040,POINT (-2.9198909 43.2602464),43.2602464,-2.9198909,4.0,Ibaiondo
building_12,railway_subway_entrance,N560562265,POINT (-2.9277874 43.261338),43.261338,-2.9277874,5.0,Abando
building_13,railway_subway_entrance,N571803298,POINT (-2.9621471 43.2799418),43.2799418,-2.9621471,0.0,Deusto
building_14,railway_subway_entrance,N571803299,POINT (-2.9618836 43.2800193),43.2800193,-2.9618836,0.0,Deusto
building_15,railway_subway_entrance,N571803300,POINT (-2.9629953 43.2814585),43.2814585,-2.9629953,0.0,Deusto
building_16,railway_subway_entrance,N571803301,POINT (-2.9624547 43.2814367),43.2814367,-2.9624547,0.0,Deusto
building_17,railway_subway_entrance,N571803302,POINT (-2.9626287 43.2813449),43.2813449,-2.9626287,0.0,Deusto
building_18,railway_subway_entrance,N571805608,POINT (-2.9494558 43.2718219),43.2718219,-2.9494558,0.0,Deusto
building_19,railway_subway_entrance,N571807589,POINT (-2.9481923 43.2625437),43.2625437,-2.9481923,7.0,Basurtu-Zorrotza
building_20,railway_subway_entrance,N571807591,POINT (-2.9461016 43.2627294),43.2627294,-2.9461016,5.0,Abando
building_21,railway_subway_entrance,N571809293,POINT (-2.9423379 43.2612436),43.2612436,-2.9423379,5.0,Abando
building_22,railway_subway_entrance,N571811758,POINT (-2.9345259 43.2626209),43.2626209,-2.9345259,5.0,Abando
building_23,railway_subway_entrance,N571811759,POINT (-2.933751 43.2626609),43.2626609,-2.933751,5.0,Abando
building_24,railway_subway_entrance,N571811762,POINT (-2.9325297 43.261957),43.261957,-2.9325297,5.0,Abando
building_25,amenity_library,N600664788,POINT (-2.958159 43.2774399),43.2774399,-2.958159,0.0,Deusto
building_26,amenity_place_of_worship,N603714638,POINT (-2.9151798 43.2567944),43.2567944,-2.9151798,4.0,Ibaiondo
building_27,amenity_place_of_worship,N610953374,POINT (-2.9109833 43.2654928),43.2654928,-2.9109833,1.0,Uribarri
building_28,amenity_place_of_worship,N620032721,POINT (-2.9120957 43.2631793),43.2631793,-2.9120957,1.0,Uribarri
building_29,railway_subway_entrance,N652111388,POINT (-2.9494092 43.2705875),43.2705875,-2.9494092,0.0,Deusto
building_30,amenity_place_of_worship,N707156296,POINT (-2.9480119 43.274857),43.274857,-2.9480119,0.0,Deusto
building_31,amenity_place_of_worship,N1048012605,POINT (-2.9338091 43.2484729),43.2484729,-2.9338091,4.0,Ibaiondo
building_32,amenity_library,N1116551010,POINT (-2.938108 43.2587313),43.2587313,-2.938108,5.0,Abando
building_33,tourism_museum,N1271964866,POINT (-2.9345677 43.2645212),43.2645212,-2.9345677,5.0,Abando
building_34,railway_subway_entrance,N1492351351,POINT (-2.9281878 43.2614269),43.2614269,-2.9281878,5.0,Abando
building_35,amenity_school,N1759584097,POINT (-2.9510542 43.2722245),43.2722245,-2.9510542,0.0,Deusto
building_36,amenity_police,N1773085424,POINT (-2.9349085 43.2571384),43.2571384,-2.9349085,6.0,Errekalde
building_37,building_public,N1848293667,POINT (-2.9510612 43.2622397),43.2622397,-2.9510612,7.0,Basurtu-Zorrotza
building_38,railway_subway_entrance,N1851625175,POINT (-2.9400076 43.2608046),43.2608046,-2.9400076,5.0,Abando
building_39,amenity_place_of_worship,N1892943135,POINT (-2.9132959 43.2558594),43.2558594,-2.9132959,3.0,Begona
building_40,amenity_school,N2280741197,POINT (-2.9098373 43.2556644),43.2556644,-2.9098373,2.0,Otxarkoaga-Txurdinaga
building_41,amenity_place_of_worship,N2326472794,POINT (-2.9432415 43.2627187),43.2627187,-2.9432415,5.0,Abando
building_42,amenity_arts_centre,N2759508762,POINT (-2.9223506 43.2547042),43.2547042,-2.9223506,4.0,Ibaiondo
building_43,amenity_place_of_worship,N2809991335,POINT (-2.933757 43.2655074),43.2655074,-2.933757,5.0,Abando
building_44,tourism_hostel,N3004608569,POINT (-2.9545458 43.2687748),43.2687748,-2.9545458,0.0,Deusto
