name,building_type_name,osm_id,geometry,lat,lon
building_0,tourism_hostel,N337878246,POINT (-79.8859431 -2.1878721),-2.1878721,-79.8859431
building_1,amenity_place_of_worship,N595656366,POINT (-79.9669927 -2.1928539),-2.1928539,-79.9669927
building_2,amenity_place_of_worship,N600335679,POINT (-79.9363042 -2.2113495),-2.2113495,-79.9363042
building_3,amenity_place_of_worship,N608094966,POINT (-79.9070926 -2.1298269),-2.1298269,-79.9070926
building_4,amenity_school,N608144891,POINT (-79.8963972 -2.1512636),-2.1512636,-79.8963972
building_5,amenity_place_of_worship,N608229692,POINT (-79.9316406 -2.1619865),-2.1619865,-79.9316406
building_6,amenity_place_of_worship,N663894669,POINT (-79.910101 -2.1980034),-2.1980034,-79.910101
building_7,amenity_place_of_worship,N883846429,POINT (-79.8839269 -2.1472095),-2.1472095,-79.8839269
building_8,amenity_place_of_worship,N884231327,POINT (-79.8938504 -2.1824583),-2.1824583,-79.8938504
building_9,amenity_school,N929349998,POINT (-79.8926371 -2.2284981),-2.2284981,-79.8926371
building_10,amenity_school,N938311549,POINT (-80.0178144 -2.1911759),-2.1911759,-80.0178144
building_11,amenity_school,N954847102,POINT (-79.9092217 -2.1213397),-2.1213397,-79.9092217
building_12,amenity_place_of_worship,N954847115,POINT (-79.9093183 -2.123425),-2.123425,-79.9093183
building_13,amenity_place_of_worship,N976216683,POINT (-79.9074135 -2.2435091),-2.2435091,-79.9074135
building_14,amenity_place_of_worship,N1359785471,POINT (-79.9188876 -2.2407027),-2.2407027,-79.9188876
building_15,amenity_school,N1359785472,POINT (-79.9194228 -2.2411624),-2.2411624,-79.9194228
building_16,amenity_school,N1471607172,POINT (-79.9587139 -2.1116676),-2.1116676,-79.9587139
building_17,amenity_school,N1480221442,POINT (-79.9552245 -2.1150625),-2.1150625,-79.9552245
building_18,amenity_school,N1480221443,POINT (-79.9578003 -2.1089806),-2.1089806,-79.9578003
building_19,amenity_school,N1480221444,POINT (-79.9550264 -2.1123727),-2.1123727,-79.9550264
building_20,amenity_place_of_worship,N1480221445,POINT (-79.9555473 -2.1148119),-2.1148119,-79.9555473
building_21,tourism_hostel,N1713409392,POINT (-79.9240933 -2.1676444),-2.1676444,-79.9240933
building_22,amenity_school,N1731026480,POINT (-79.8934148 -2.2424724),-2.2424724,-79.8934148
building_23,amenity_school,N1741703529,POINT (-79.8848532 -2.1229087),-2.1229087,-79.8848532
building_24,amenity_school,N1853033804,POINT (-79.8839173 -2.2044901),-2.2044901,-79.8839173
building_25,amenity_place_of_worship,N2010902926,POINT (-79.8886542 -2.2257716),-2.2257716,-79.8886542
building_26,amenity_place_of_worship,N2010920499,POINT (-79.910946 -2.2489885),-2.2489885,-79.910946
building_27,amenity_place_of_worship,N3173398183,POINT (-79.9413856 -2.2260766),-2.2260766,-79.9413856
building_28,amenity_place_of_worship,N3692078485,POINT (-79.8906368 -2.1551833),-2.1551833,-79.8906368
building_29,amenity_school,N3964940631,POINT (-79.9242462 -2.1245877),-2.1245877,-79.9242462
building_30,tourism_hostel,N4060811089,POINT (-79.8908264 -2.1542073),-2.1542073,-79.8908264
building_31,amenity_school,N4154670490,POINT (-79.9145211 -2.1700465),-2.1700465,-79.9145211
building_32,amenity_school,N4203228392,POINT (-79.9049692 -2.1811588),-2.1811588,-79.9049692
building_33,amenity_community_centre,N4231085895,POINT (-79.8937709 -2.1774545),-2.1774545,-79.8937709
building_34,amenity_school,N4243480689,POINT (-79.8941129 -2.2130717),-2.2130717,-79.8941129
building_35,amenity_place_of_worship,N4250337791,POINT (-79.8777628 -2.1818054),-2.1818054,-79.8777628
building_36,amenity_school,N4263526668,POINT (-79.9098595 -2.1479114),-2.1479114,-79.9098595
building_37,amenity_place_of_worship,N4272929190,POINT (-79.90851 -2.20153),-2.20153,-79.90851
building_38,amenity_school,N4273448756,POINT (-79.878679 -2.2752814),-2.2752814,-79.878679
building_39,amenity_school,N4273448757,POINT (-79.8784799 -2.27267),-2.27267,-79.8784799
building_40,amenity_school,N4273466664,POINT (-79.8777626 -2.2746324),-2.2746324,-79.8777626
building_41,amenity_school,N4273498306,POINT (-79.8778223 -2.2748204),-2.2748204,-79.8778223
building_42,amenity_school,N4274122704,POINT (-79.8946497 -2.1391208),-2.1391208,-79.8946497
building_43,amenity_place_of_worship,N4277458091,POINT (-79.92588 -2.1421619),-2.1421619,-79.92588
building_44,amenity_place_of_worship,N4277465198,POINT (-79.964678 -2.0938647),-2.0938647,-79.964678
building_45,amenity_place_of_worship,N4277506190,POINT (-79.886051 -2.2451127),-2.2451127,-79.886051
