name,building_type_name,osm_id,geometry,lat,lon
building_0,building_yes,N1402887929,POINT (-79.9097548 -2.1689224),-2.1689224,-79.9097548
building_1,building_yes,N1741703468,POINT (-79.8859958 -2.1244955),-2.1244955,-79.8859958
building_2,building_yes,N1777370221,POINT (-79.9460576 -2.1212751),-2.1212751,-79.9460576
building_3,building_yes,N1787638888,POINT (-79.8898867 -2.1471404),-2.1471404,-79.8898867
building_4,building_yes,N1851800396,POINT (-79.9401267 -2.0704407),-2.0704407,-79.9401267
building_5,building_residential,N2164140325,POINT (-79.8875379 -2.148241),-2.148241,-79.8875379
building_6,building_yes,N4020208641,POINT (-79.8877253 -2.1486379),-2.1486379,-79.8877253
building_7,building_house,N4134752294,POINT (-79.919063 -2.0918068),-2.0918068,-79.919063
building_8,building_apartments,N4243500663,POINT (-79.9715926 -2.1935381),-2.1935381,-79.9715926
building_9,building_yes,N4311615348,POINT (-79.8866436 -2.2124002),-2.2124002,-79.8866436
building_10,building_yes,N4319814213,POINT (-79.8811264 -2.2602571),-2.2602571,-79.8811264
building_11,building_yes,N4534834754,POINT (-79.9216698 -2.1560747),-2.1560747,-79.9216698
building_12,building_apartments,N5229542321,POINT (-79.8769834 -2.1771818),-2.1771818,-79.8769834
building_13,building_yes,N5331684977,POINT (-79.8769038 -2.1779336),-2.1779336,-79.8769038
building_14,building_yes,N5888473606,POINT (-79.9060061 -2.1448247),-2.1448247,-79.9060061
building_15,building_yes,N5888473610,POINT (-79.9047257 -2.1446381),-2.1446381,-79.9047257
building_16,building_yes,N5888473632,POINT (-79.905252 -2.1442794),-2.1442794,-79.905252
building_17,building_yes,N5888473642,POINT (-79.9034124 -2.1440383),-2.1440383,-79.9034124
building_18,building_yes,N5888473643,POINT (-79.903407 -2.1443279),-2.1443279,-79.903407
building_19,building_yes,N5888473672,POINT (-79.9042895 -2.1436247),-2.1436247,-79.9042895
building_20,building_yes,N5959782546,POINT (-79.9142098 -2.1396557),-2.1396557,-79.9142098
building_21,building_apartments,N9450510469,POINT (-79.9700189 -2.1881737),-2.1881737,-79.9700189
building_22,building_yes,N9694294030,POINT (-79.9069604 -2.2775419),-2.2775419,-79.9069604
building_23,building_yes,N9694294031,POINT (-79.9070889 -2.2777327),-2.2777327,-79.9070889
building_24,building_yes,N10647008584,POINT (-79.8961254 -2.0656873),-2.0656873,-79.8961254
building_25,building_yes,N10647008585,POINT (-79.8951561 -2.0646426),-2.0646426,-79.8951561
building_26,building_yes,N10647011274,POINT (-79.8973183 -2.0674148),-2.0674148,-79.8973183
building_27,building_yes,N10647011275,POINT (-79.897302 -2.0669617),-2.0669617,-79.897302
building_28,building_yes,W28618430,"POLYGON ((-79.8879013 -2.1592816, -79.8875474 -2.158689, -79.887626 -2.1584241, -79.8870509 -2.1574611, -79.8865179 -2.157779, -79.8863739 -2.157538, -79.8862826 -2.1575925, -79.8875479 -2.1597113, -79.887717 -2.1596104, -79.8876206 -2.1594489, -79.8879013 -2.1592816))",-2.1584717783366716,-79.88717848258621
building_29,building_yes,W35136514,"POLYGON ((-79.8879092 -2.2140517, -79.8873733 -2.2141899, -79.8872291 -2.2136318, -79.887765 -2.2134936, -79.8879092 -2.2140517))",-2.2138417500000003,-79.88756914999999
building_30,building_yes,W35405073,"POLYGON ((-79.8765934 -2.1859594, -79.876659 -2.1859233, -79.876737 -2.185913, -79.876785 -2.1859328, -79.8768261 -2.1859588, -79.8768556 -2.1860004, -79.8768633 -2.1860284, -79.8768726 -2.1860623, -79.8768675 -2.1861219, -79.8768438 -2.1861743, -79.876784 -2.1862306, -79.876768 -2.186276, -79.8767001 -2.1864682, -79.8766462 -2.186469, -79.8766023 -2.1862097, -79.8765655 -2.1861643, -79.87654 -2.1860911, -79.876552 -2.1860188, -79.8765934 -2.1859594))",-2.1861399532348598,-79.8767023799361
building_31,building_yes,W35415474,"POLYGON ((-79.9263933 -2.1607257, -79.9261859 -2.1608091, -79.9260935 -2.1608862, -79.9260275 -2.160892, -79.9259296 -2.1609692, -79.9260241 -2.1611005, -79.9259483 -2.1611724, -79.9260619 -2.1613157, -79.9261403 -2.1612511, -79.926258 -2.1613717, -79.9263744 -2.161275, -79.92632 -2.1611575, -79.9264835 -2.161104, -79.9265639 -2.1609351, -79.9263933 -2.1607257))",-2.1610341484098194,-79.92624394157508
building_32,building_yes,W35426279,"POLYGON ((-79.9177789 -2.1684342, -79.9177881 -2.1690646, -79.9176666 -2.1691635, -79.9174412 -2.1691536, -79.9174061 -2.1691249, -79.9173772 -2.1691656, -79.9173037 -2.1691635, -79.9172672 -2.1691224, -79.9170388 -2.1693052, -79.9168438 -2.169298, -79.9167952 -2.1693483, -79.9165409 -2.1693412, -79.9164873 -2.1692966, -79.9162805 -2.1692932, -79.9160743 -2.1690622, -79.916035 -2.1690607, -79.9155809 -2.1690435, -79.91551 -2.1689523, -79.9155302 -2.1684254, -79.9156241 -2.1683447, -79.916074 -2.1683583, -79.9161038 -2.1683592, -79.9162902 -2.168162, -79.9165325 -2.1681671, -79.9165923 -2.1681178, -79.9168248 -2.1681175, -79.9168776 -2.1681745, -79.9170891 -2.1681806, -79.9172664 -2.1683463, -79.917318 -2.1682882, -79.9174075 -2.1682851, -79.9174501 -2.1683379, -79.9174715 -2.168322, -79.917694 -2.1683284, -79.9177789 -2.1684342))",-2.1687279776159065,-79.91668648667861
building_33,building_yes,W35467845,"POLYGON ((-79.8961676 -2.1668035, -79.8960893 -2.1668652, -79.896045 -2.16677, -79.8960214 -2.1667158, -79.896006 -2.1666662, -79.8959898 -2.1665979, -79.8959835 -2.1665438, -79.8959792 -2.1664707, -79.895985 -2.1663998, -79.8960863 -2.1664241, -79.8960432 -2.1664399, -79.8960591 -2.1665244, -79.8960831 -2.1666635, -79.8961676 -2.1668035))",-2.166637285356289,-79.89605259631124
building_34,building_yes,W35467846,"POLYGON ((-79.8967429 -2.1670097, -79.8964054 -2.1672746, -79.8961089 -2.1668972, -79.8964463 -2.1666324, -79.8967429 -2.1670097))",-2.1669534860714537,-79.89642588209749
building_35,building_yes,W35467847,"POLYGON ((-79.8981597 -2.1683683, -79.897542 -2.1688316, -79.8978124 -2.1691917, -79.8979495 -2.1690889, -79.8980712 -2.169251, -79.8980942 -2.1692337, -79.8981396 -2.1692941, -79.8980546 -2.1693579, -79.8980387 -2.1694613, -79.8981234 -2.1695944, -79.8982354 -2.169622, -79.8982876 -2.1695777, -79.8985714 -2.1699121, -79.8985165 -2.1699586, -79.8985062 -2.1699919, -79.8985033 -2.1700383, -79.8985232 -2.1700848, -79.8985601 -2.1701163, -79.8985962 -2.1701279, -79.8986527 -2.1701246, -79.8986821 -2.1701639, -79.8991707 -2.1697799, -79.8981597 -2.1683683))",-2.169254480849635,-79.89837728329717
building_36,building_yes,W35467855,"POLYGON ((-79.8993954 -2.1695703, -79.8992293 -2.1696955, -79.8987448 -2.1690535, -79.8989259 -2.168917, -79.8990835 -2.1691259, -79.8991735 -2.1690581, -79.8992378 -2.1690086, -79.8994504 -2.1692845, -79.8993954 -2.1695703))",-2.1692875465849606,-79.89914529648044
building_37,building_yes,W35468710,"POLYGON ((-79.8942587 -2.1548218, -79.8944843 -2.155154, -79.8944621 -2.1552621, -79.8941606 -2.1554728, -79.8941384 -2.1554411, -79.8940177 -2.1555254, -79.8940074 -2.1556061, -79.8938774 -2.1556978, -79.893802 -2.1556851, -79.8937134 -2.1557548, -79.8935086 -2.1557207, -79.8934795 -2.1556823, -79.8931039 -2.1556162, -79.8930657 -2.1556446, -79.8929828 -2.1556323, -79.8929313 -2.1556246, -79.8928606 -2.1557319, -79.8923917 -2.1556315, -79.8923643 -2.1557592, -79.8923318 -2.1558118, -79.8922826 -2.1558631, -79.8922042 -2.1559096, -79.8921946 -2.1558181, -79.8920436 -2.1558339, -79.8920528 -2.1559217, -79.8919684 -2.1559004, -79.8918652 -2.1558132, -79.8918196 -2.1557286, -79.8916824 -2.1558025, -79.891673 -2.1558605, -79.8908483 -2.1557262, -79.8908582 -2.1556658, -79.891054 -2.1545063, -79.8926802 -2.1547806, -79.892698 -2.1546751, -79.8927846 -2.1546897, -79.892809 -2.1545454, -79.8927374 -2.1545333, -79.8927559 -2.1544241, -79.8928727 -2.1542204, -79.8929557 -2.154166, -79.8932471 -2.1546096, -79.8931323 -2.1546849, -79.893114 -2.1547664, -79.8937057 -2.1548988, -79.8937105 -2.1549247, -79.8937885 -2.1549271, -79.894076 -2.1547249, -79.894148 -2.1548271, -79.8941777 -2.1548062, -79.8942587 -2.1548218))",-2.1551874331174274,-79.89249816372352
building_38,building_yes,W35468712,"POLYGON ((-79.8913753 -2.1562726, -79.8914212 -2.1563007, -79.891472 -2.1563334, -79.8915244 -2.1563687, -79.8915525 -2.1563883, -79.891689 -2.1566161, -79.8915408 -2.156704, -79.8914684 -2.1565822, -79.8914392 -2.1565376, -79.8914197 -2.1565108, -79.8914075 -2.1564964, -79.8913715 -2.1565268, -79.8912833 -2.1564229, -79.8913753 -2.1562726))",-2.1564837795804443,-79.89148575137857
building_39,building_yes,W35577012,"POLYGON ((-79.8890011 -2.2269361, -79.8889592 -2.226555, -79.8895915 -2.2263971, -79.8895723 -2.2269413, -79.8890011 -2.2269361))",-2.2267010871426156,-79.8892977086042
building_40,building_yes,W35607705,"POLYGON ((-79.8895437 -2.1492383, -79.8894769 -2.1495815, -79.8890007 -2.149489, -79.8890674 -2.1491457, -79.8895437 -2.1492383))",-2.1493636163427947,-79.88927216736816
building_41,building_yes,W35609252,"POLYGON ((-79.8871067 -2.1426191, -79.8876485 -2.141505, -79.8880737 -2.1417271, -79.8881942 -2.1417969, -79.8882323 -2.1418858, -79.8881562 -2.1420317, -79.888105 -2.1420041, -79.8877625 -2.1426962, -79.8876733 -2.1426291, -79.8874602 -2.1428895, -79.8871067 -2.1426191))",-2.1421897564284182,-79.88765692158172
building_42,building_yes,W35683949,"POLYGON ((-79.8975539 -2.1416898, -79.8979878 -2.1420107, -79.8975974 -2.1425379, -79.8971635 -2.142217, -79.8975539 -2.1416898))",-2.14211385,-79.89757565000001
building_43,building_yes,W35692056,"POLYGON ((-79.8973473 -2.1405728, -79.897179 -2.1408024, -79.8968958 -2.1405952, -79.8970641 -2.1403656, -79.8973473 -2.1405728))",-2.140584,-79.89712155000001
building_44,building_yes,W35767801,"POLYGON ((-79.9002254 -2.1377202, -79.9001386 -2.1378317, -79.8999627 -2.137695, -79.9000495 -2.1375835, -79.9002254 -2.1377202))",-2.1377076,-79.90009405000002
building_45,building_yes,W35767804,"POLYGON ((-79.9005155 -2.139388, -79.9004426 -2.1394873, -79.9001199 -2.1392505, -79.9001928 -2.1391513, -79.9005155 -2.139388))",-2.1393192891407242,-79.90031771670839
building_46,building_yes,W35818750,"POLYGON ((-79.9088625 -2.1391236, -79.9084763 -2.1396897, -79.9082102 -2.139501, -79.908133 -2.1396039, -79.907796 -2.1393521, -79.9078879 -2.1392255, -79.9075961 -2.1390111, -79.9080042 -2.1384717, -79.908296 -2.1386519, -79.9083561 -2.1385661, -79.908811 -2.1388663, -79.908708 -2.1390207, -79.9088625 -2.1391236))",-2.139069967723461,-79.90824888698259
