name,building_type_name,osm_id,geometry,lat,lon
building_0,amenity_place_of_worship,N566816025,POINT (75.8582201 26.917056),26.917056,75.8582201
building_1,amenity_place_of_worship,N566816109,POINT (75.8522929 26.9171235),26.9171235,75.8522929
building_2,amenity_place_of_worship,N1338013506,POINT (75.7978395 26.9457198),26.9457198,75.7978395
building_3,amenity_school,N2130276039,POINT (75.8117789 26.9304084),26.9304084,75.8117789
building_4,amenity_school,N2692620780,POINT (75.7780051 26.9549389),26.9549389,75.7780051
building_5,amenity_school,N2725271168,POINT (75.8061902 26.8688181),26.8688181,75.8061902
building_6,amenity_school,N2725536822,POINT (75.8119244 26.8940483),26.8940483,75.8119244
building_7,amenity_place_of_worship,N2777043242,POINT (75.8208167 26.9244425),26.9244425,75.8208167
building_8,amenity_school,N3083894233,POINT (75.7563465 26.8606149),26.8606149,75.7563465
building_9,amenity_school,N3476214795,POINT (75.803689 26.8589613),26.8589613,75.803689
building_10,amenity_school,N3560497262,POINT (75.8142447 26.857769),26.857769,75.8142447
building_11,tourism_hostel,N3677150047,POINT (75.7978614 26.9195863),26.9195863,75.7978614
building_12,amenity_place_of_worship,N3747084918,POINT (75.7524592 27.0114145),27.0114145,75.7524592
building_13,amenity_place_of_worship,N3747144479,POINT (75.7492597 27.0147967),27.0147967,75.7492597
building_14,amenity_place_of_worship,N3747149989,POINT (75.7504738 27.0145037),27.0145037,75.7504738
building_15,amenity_place_of_worship,N3806117789,POINT (75.8178018 26.924589),26.924589,75.8178018
building_16,amenity_place_of_worship,N3806140191,POINT (75.8239003 26.9287662),26.9287662,75.8239003
building_17,amenity_place_of_worship,N3806705458,POINT (75.8103552 26.9161162),26.9161162,75.8103552
building_18,amenity_place_of_worship,N3840690967,POINT (75.7862058 26.9024219),26.9024219,75.7862058
building_19,amenity_school,N3840693080,POINT (75.7855382 26.9026832),26.9026832,75.7855382
building_20,tourism_hostel,N4030823290,POINT (75.8174117 26.8973606),26.8973606,75.8174117
building_21,amenity_place_of_worship,N4225230292,POINT (75.8442812 26.8286529),26.8286529,75.8442812
building_22,amenity_school,N4225230790,POINT (75.8430423 26.8300718),26.8300718,75.8430423
building_23,amenity_place_of_worship,N4225292290,POINT (75.8428982 26.8309327),26.8309327,75.8428982
building_24,tourism_hostel,N4226406190,POINT (75.8350761 26.8324358),26.8324358,75.8350761
building_25,amenity_school,N4226406292,POINT (75.8061827 26.88125),26.88125,75.8061827
building_26,amenity_school,N4297282789,POINT (75.7519619 26.833001),26.833001,75.7519619
building_27,tourism_hostel,N4297704489,POINT (75.828382 26.9292673),26.9292673,75.828382
building_28,amenity_place_of_worship,N4306106590,POINT (75.8545146 26.9195689),26.9195689,75.8545146
building_29,amenity_place_of_worship,N4306123990,POINT (75.8263453 26.9287664),26.9287664,75.8263453
building_30,tourism_hostel,N4463653797,POINT (75.7786741 26.9066801),26.9066801,75.7786741
building_31,tourism_hostel,N4464363795,POINT (75.7787975 26.9065384),26.9065384,75.7787975
building_32,amenity_school,N4511686895,POINT (75.7956827 26.9295583),26.9295583,75.7956827
building_33,amenity_place_of_worship,N4568171759,POINT (75.772514 26.9764494),26.9764494,75.772514
building_34,amenity_place_of_worship,N4568171760,POINT (75.7723302 26.9770506),26.9770506,75.7723302
building_35,amenity_place_of_worship,N4568171767,POINT (75.7676301 26.9791212),26.9791212,75.7676301
building_36,amenity_place_of_worship,N4568171768,POINT (75.7716167 26.9764906),26.9764906,75.7716167
building_37,amenity_place_of_worship,N4568171769,POINT (75.7624373 26.9731548),26.9731548,75.7624373
building_38,amenity_place_of_worship,N4568171770,POINT (75.7625929 26.9730831),26.9730831,75.7625929
building_39,amenity_school,N4784703223,POINT (75.8248127 26.9270361),26.9270361,75.8248127
building_40,amenity_place_of_worship,N4824496421,POINT (75.8677845 26.918594),26.918594,75.8677845
building_41,tourism_hostel,N4834668021,POINT (75.843704 26.945655),26.945655,75.843704
building_42,tourism_hostel,N4849657021,POINT (75.7830831 26.9062522),26.9062522,75.7830831
building_43,tourism_hostel,N4880271222,POINT (75.7918908 26.8758606),26.8758606,75.7918908
building_44,amenity_school,N4880279121,POINT (75.8045019 26.8673092),26.8673092,75.8045019
building_45,tourism_hostel,N5254163622,POINT (75.7888442 26.9281453),26.9281453,75.7888442
building_46,tourism_hostel,N5403334317,POINT (75.7672966 26.8971208),26.8971208,75.7672966
building_47,tourism_hostel,N5426695522,POINT (75.7984521 26.9138631),26.9138631,75.7984521
building_48,amenity_place_of_worship,N5474777676,POINT (75.740735 26.902235),26.902235,75.740735
building_49,amenity_place_of_worship,N5534904751,POINT (75.7741405 26.8563028),26.8563028,75.7741405
building_50,amenity_place_of_worship,N5534909210,POINT (75.7673019 26.8642006),26.8642006,75.7673019
building_51,amenity_place_of_worship,N5534914025,POINT (75.7691169 26.851119),26.851119,75.7691169
building_52,amenity_place_of_worship,N5579686521,POINT (75.857326 26.9511782),26.9511782,75.857326
building_53,tourism_hostel,N6046848585,POINT (75.7996603 26.918224),26.918224,75.7996603
building_54,amenity_place_of_worship,N6297514686,POINT (75.8519272 26.9344492),26.9344492,75.8519272
building_55,amenity_school,N6324050650,POINT (75.7798494 26.9151355),26.9151355,75.7798494
building_56,amenity_place_of_worship,N6395534385,POINT (75.8166822 26.8946581),26.8946581,75.8166822
building_57,tourism_hostel,N6720185487,POINT (75.8071574 26.9181264),26.9181264,75.8071574
building_58,amenity_place_of_worship,N6866495534,POINT (75.8268016 26.9527483),26.9527483,75.8268016
building_59,tourism_hostel,N6906334472,POINT (75.8049122 26.9199341),26.9199341,75.8049122
building_60,amenity_school,N6978714374,POINT (75.7668854 26.9171632),26.9171632,75.7668854
building_61,amenity_school,N7037601185,POINT (75.7355619 26.9224344),26.9224344,75.7355619
building_62,amenity_place_of_worship,N7085549922,POINT (75.7561729 26.913653),26.913653,75.7561729
building_63,tourism_hostel,N7153511253,POINT (75.8049219 26.9190838),26.9190838,75.8049219
building_64,amenity_school,N7233534385,POINT (75.7465894 26.8893549),26.8893549,75.7465894
building_65,amenity_school,N7233534485,POINT (75.7465483 26.8894205),26.8894205,75.7465483
building_66,tourism_hostel,N7236021067,POINT (75.7900422 26.9241743),26.9241743,75.7900422
building_67,amenity_place_of_worship,N7329285552,POINT (75.8203089 26.9240321),26.9240321,75.8203089
building_68,amenity_place_of_worship,N7574698885,POINT (75.7470222 26.8963587),26.8963587,75.7470222
building_69,amenity_place_of_worship,N7574703885,POINT (75.7550967 26.9739577),26.9739577,75.7550967
building_70,amenity_place_of_worship,N7656451967,POINT (75.7925579 26.8472681),26.8472681,75.7925579
building_71,amenity_place_of_worship,N7656457830,POINT (75.791885 26.8462692),26.8462692,75.791885
building_72,railway_subway_entrance,N8042595564,POINT (75.7744738 26.9018284),26.9018284,75.7744738
building_73,railway_subway_entrance,N8042595570,POINT (75.7748738 26.9017741),26.9017741,75.7748738
building_74,amenity_community_centre,N8119003849,POINT (75.7728417 26.902391),26.902391,75.7728417
building_75,amenity_community_centre,N8125618853,POINT (75.835554 26.9025334),26.9025334,75.835554
building_76,amenity_school,N8125619003,POINT (75.8381512 26.9062568),26.9062568,75.8381512
building_77,amenity_place_of_worship,N8125619178,POINT (75.8413333 26.9065251),26.9065251,75.8413333
building_78,amenity_place_of_worship,N8129798999,POINT (75.7478435 26.9158458),26.9158458,75.7478435
building_79,amenity_school,N8140727879,POINT (75.7442167 26.9094485),26.9094485,75.7442167
building_80,amenity_community_centre,N8175893974,POINT (75.7907169 26.8977742),26.8977742,75.7907169
building_81,railway_subway_entrance,N8475685133,POINT (75.8270456 26.9225314),26.9225314,75.8270456
building_82,railway_subway_entrance,N8475685134,POINT (75.8272994 26.9231664),26.9231664,75.8272994
building_83,railway_subway_entrance,N8475685135,POINT (75.8265693 26.9233293),26.9233293,75.8265693
building_84,railway_subway_entrance,N8475685136,POINT (75.8264722 26.9227234),26.9227234,75.8264722
building_85,amenity_place_of_worship,N8892836767,POINT (75.9009662 26.8500894),26.8500894,75.9009662
building_86,amenity_place_of_worship,N8916358525,POINT (75.8897849 26.8404892),26.8404892,75.8897849
building_87,amenity_place_of_worship,N8916370392,POINT (75.8679387 26.8338729),26.8338729,75.8679387
