name,building_type_name,osm_id,geometry,lat,lon
building_0,building_house,N3748715931,POINT (75.7483353 27.0148326),27.0148326,75.7483353
building_1,building_house,N3748715936,POINT (75.759335 27.0108611),27.0108611,75.759335
building_2,building_house,N3748715951,POINT (75.7503483 27.0144311),27.0144311,75.7503483
building_3,building_house,N3748716014,POINT (75.7518101 27.0151086),27.0151086,75.7518101
building_4,building_house,N3748726516,POINT (75.7528725 27.0179757),27.0179757,75.7528725
building_5,building_house,N3748729131,POINT (75.7528839 27.0152272),27.0152272,75.7528839
building_6,building_house,N3748731461,POINT (75.7532447 27.0175558),27.0175558,75.7532447
building_7,building_house,N3748736531,POINT (75.7537132 27.0176871),27.0176871,75.7537132
building_8,building_house,N3748771013,POINT (75.753508 27.0160284),27.0160284,75.753508
building_9,building_apartments,N3806491203,POINT (75.7950694 26.9270897),26.9270897,75.7950694
building_10,building_apartments,N3806491205,POINT (75.7952821 26.9271774),26.9271774,75.7952821
building_11,building_house,N3806500318,POINT (75.7946286 26.9272362),26.9272362,75.7946286
building_12,building_house,N3824193784,POINT (75.7970213 26.9291945),26.9291945,75.7970213
building_13,building_apartments,N3840460041,POINT (75.8210001 26.8762589),26.8762589,75.8210001
building_14,building_apartments,N3840690415,POINT (75.7858421 26.9028802),26.9028802,75.7858421
building_15,building_yes,N4351104819,POINT (75.7726501 26.8890886),26.8890886,75.7726501
building_16,building_yes,N4351104820,POINT (75.7723068 26.8897297),26.8897297,75.7723068
building_17,building_yes,N4361473989,POINT (75.8042061 26.8504389),26.8504389,75.8042061
building_18,building_yes,N4744481341,POINT (75.7814233 26.8233621),26.8233621,75.7814233
building_19,building_yes,N4744495008,POINT (75.7780916 26.8250509),26.8250509,75.7780916
building_20,building_yes,N4744501640,POINT (75.7786819 26.8234488),26.8234488,75.7786819
building_21,building_yes,N4744511406,POINT (75.7790623 26.8206321),26.8206321,75.7790623
building_22,building_yes,N7276386357,POINT (75.7037922 26.8810033),26.8810033,75.7037922
building_23,building_yes,N8064482488,POINT (75.7065654 26.9090801),26.9090801,75.7065654
building_24,building_yes,W86547367,"POLYGON ((75.7961636 26.9123251, 75.7962279 26.9125164, 75.7964747 26.9124494, 75.7964103 26.9122485, 75.7961636 26.9123251))",26.912384397407077,75.79631998616259
building_25,building_yes,W102877521,"POLYGON ((75.8002767 26.9232478, 75.8010017 26.9235007, 75.8010352 26.9234245, 75.8010801 26.9233222, 75.8003551 26.9230692, 75.8003142 26.9231625, 75.8002767 26.9232478))",26.92328497064874,75.80067838998524
building_26,building_yes,W102877525,"POLYGON ((75.8003074 26.9235468, 75.8003513 26.9234348, 75.8008904 26.9236027, 75.8008465 26.9237146, 75.8003074 26.9235468))",26.92357471326032,75.80059886447405
building_27,building_yes,W133268567,"POLYGON ((75.8041371 26.9076519, 75.8041404 26.907435, 75.804186 26.9072273, 75.8042569 26.907042, 75.8043566 26.9068689, 75.8044596 26.9067409, 75.8043194 26.9066445, 75.8042029 26.9067936, 75.8040881 26.9069939, 75.8040003 26.9072017, 75.8039513 26.9074335, 75.8039479 26.9076579, 75.8041371 26.9076519))",26.907163753903014,75.80414773109437
building_28,building_yes,W133268569,"POLYGON ((75.800992 26.9060197, 75.8015431 26.9057994, 75.8013589 26.9054331, 75.8008078 26.9056534, 75.800992 26.9060197))",26.9057264,75.80117544999999
building_29,building_yes,W133268570,"POLYGON ((75.7923966 26.906207, 75.7924117 26.9062573, 75.792581 26.9062171, 75.7925659 26.9061667, 75.7923966 26.906207))",26.906212018087878,75.79248882594759
building_30,building_yes,W133276631,"POLYGON ((75.8054061 26.905728, 75.8053566 26.9058564, 75.8055123 26.906139, 75.8055566 26.9061205, 75.8057374 26.9061811, 75.8058735 26.9061148, 75.8059011 26.9061185, 75.805878 26.9061739, 75.8061366 26.9062592, 75.8061524 26.9062116, 75.8061997 26.9062222, 75.8062467 26.9063491, 75.8064312 26.9064069, 75.8064476 26.9064495, 75.8067685 26.9063118, 75.8066919 26.9061541, 75.8064465 26.9062541, 75.8063152 26.9060312, 75.8063261 26.9059801, 75.8062899 26.9059735, 75.80632 26.9059012, 75.8067722 26.9057143, 75.8066977 26.9055764, 75.8062538 26.9057575, 75.8061546 26.9057259, 75.8059705 26.9053343, 75.8057981 26.905408, 75.8060174 26.9057975, 75.8059888 26.9058722, 75.8059396 26.9058579, 75.8059149 26.9059136, 75.8057792 26.9056773, 75.8056399 26.9056312, 75.8054061 26.905728))",26.905932321188345,75.80604665450576
building_31,building_yes,W133276636,"POLYGON ((75.8036929 26.9076421, 75.8038434 26.9075868, 75.8037948 26.9074815, 75.8036443 26.9075368, 75.8036929 26.9076421))",26.907561799999996,75.80374384999999
building_32,building_yes,W133276638,"POLYGON ((75.8035424 26.9068262, 75.8036001 26.9069444, 75.8041697 26.9067234, 75.804112 26.9066051, 75.8035424 26.9068262))",26.906774761192583,75.80385608340363
building_33,building_yes,W133276639,"POLYGON ((75.8019781 26.9060261, 75.8017849 26.906105, 75.8019148 26.9063577, 75.802108 26.9062787, 75.8019781 26.9060261))",26.906191881782114,75.80194644711457
building_34,building_yes,W133276642,"POLYGON ((75.8035837 26.9070551, 75.8034151 26.9071215, 75.8036158 26.9075268, 75.8037844 26.9074605, 75.8035837 26.9070551))",26.907290965556154,75.80359974879023
building_35,building_yes,W133276643,"POLYGON ((75.8026451 26.9059182, 75.8025204 26.9059701, 75.802665 26.9062464, 75.8027898 26.9061945, 75.8026451 26.9059182))",26.906082314621155,75.80265508421988
building_36,building_yes,W133276644,"POLYGON ((75.8052741 26.9054818, 75.8053274 26.9055833, 75.8056201 26.9054612, 75.8055669 26.9053597, 75.8052741 26.9054818))",26.905471501059875,75.80544711553141
