name,building_type_name,osm_id,geometry,lat,lon
building_0,tourism_hostel,N278595131,POINT (115.8632301 -31.9505801),-31.9505801,115.8632301
building_1,tourism_hostel,N835521131,POINT (115.8600155 -31.947686),-31.947686,115.8600155
building_2,tourism_hostel,N835521141,POINT (115.8622525 -31.9488856),-31.9488856,115.8622525
building_3,tourism_hostel,N835521142,POINT (115.8592338 -31.9469384),-31.9469384,115.8592338
building_4,amenity_place_of_worship,N2681570191,POINT (115.8189196 -31.9806723),-31.9806723,115.8189196
building_5,tourism_hostel,N3423615483,POINT (115.8614962 -31.9539885),-31.9539885,115.8614962
building_6,tourism_hostel,N4765759221,POINT (115.8578627 -31.9458458),-31.9458458,115.8578627
building_7,railway_subway_entrance,N6127284778,POINT (115.857699 -31.9524173),-31.9524173,115.857699
building_8,amenity_community_centre,N6829139688,POINT (115.8589693 -31.9558204),-31.9558204,115.8589693
building_9,tourism_hostel,N6924671415,POINT (115.8591201 -31.9468285),-31.9468285,115.8591201
building_10,amenity_community_centre,N8147945065,POINT (115.8629355 -31.956597),-31.956597,115.8629355
building_11,amenity_community_centre,N8147952008,POINT (115.8653666 -31.9555156),-31.9555156,115.8653666
building_12,amenity_community_centre,N8147997301,POINT (115.8654175 -31.9554276),-31.9554276,115.8654175
building_13,tourism_hostel,N8148080686,POINT (115.8701224 -31.9577095),-31.9577095,115.8701224
building_14,amenity_school,N8166991443,POINT (115.8749411 -31.9502898),-31.9502898,115.8749411
building_15,railway_subway_entrance,N11166114744,POINT (115.8582297 -31.9517414),-31.9517414,115.8582297
building_16,amenity_place_of_worship,N11738051057,POINT (115.814858 -31.9671006),-31.9671006,115.814858
building_17,amenity_community_centre,N11789244486,POINT (115.8585386 -31.9456929),-31.9456929,115.8585386
building_18,amenity_school,W5646693,"POLYGON ((115.8818835 -31.9593582, 115.881828 -31.9593838, 115.881641 -31.9595891, 115.8814284 -31.9598243, 115.8812198 -31.9600539, 115.8809428 -31.9605721, 115.8805361 -31.9610977, 115.8810887 -31.9612546, 115.8812957 -31.9613046, 115.881508 -31.9613454, 115.8818748 -31.9613864, 115.8822631 -31.9613812, 115.8826898 -31.9613259, 115.8832082 -31.9610898, 115.8834352 -31.9608528, 115.8838486 -31.9602028, 115.8840818 -31.9596372, 115.8841361 -31.9591241, 115.8843199 -31.9586637, 115.884328 -31.9585203, 115.8843354 -31.9583879, 115.8838875 -31.958234, 115.8838797 -31.9582486, 115.8835993 -31.9587739, 115.8834091 -31.9589724, 115.8831975 -31.9591391, 115.883004 -31.9592484, 115.8827837 -31.9593303, 115.8824469 -31.9593809, 115.8822013 -31.9593905, 115.8818835 -31.9593582))",-31.96014565253952,115.88259873062935
building_19,amenity_school,W8067339,"POLYGON ((115.8685094 -31.9568856, 115.8687526 -31.9569673, 115.8690206 -31.9563881, 115.8690167 -31.9563407, 115.8689683 -31.9562999, 115.8671496 -31.9557081, 115.8669381 -31.956186, 115.8662347 -31.9559553, 115.8660622 -31.956351, 115.8660638 -31.9564058, 115.8661082 -31.9564544, 115.867533 -31.9569178, 115.8676064 -31.9569112, 115.8683782 -31.9571651, 115.8685094 -31.9568856))",-31.95643229371322,115.86763159545828
building_20,amenity_place_of_worship,W44038956,"POLYGON ((115.8418043 -31.949763, 115.8421462 -31.9498848, 115.8420813 -31.950016, 115.8417394 -31.9498942, 115.8418043 -31.949763))",-31.949889499999994,115.84194280000001
building_21,amenity_place_of_worship,W44038970,"POLYGON ((115.8424267 -31.9482807, 115.8426231 -31.9483474, 115.8425289 -31.9485492, 115.8423325 -31.9484825, 115.8424267 -31.9482807))",-31.948414950000004,115.84247779999998
building_22,amenity_place_of_worship,W48861741,"POLYGON ((115.8492108 -31.9516719, 115.8491967 -31.9516983, 115.8492161 -31.9517192, 115.8492571 -31.9517043, 115.8493957 -31.9519792, 115.8493521 -31.951995, 115.849365 -31.9520206, 115.8492174 -31.9520741, 115.8491698 -31.9519796, 115.8491845 -31.9519742, 115.8490807 -31.9517684, 115.8491182 -31.9517548, 115.8491216 -31.951721, 115.8490907 -31.9517187, 115.849105 -31.951682, 115.8491416 -31.9516923, 115.8491599 -31.9516863, 115.8491658 -31.9516635, 115.8492108 -31.9516719))",-31.95187215021904,115.8492332722461
building_23,amenity_place_of_worship,W146798824,"POLYGON ((115.8786341 -31.9560741, 115.8786454 -31.9560777, 115.8786508 -31.9560656, 115.8787141 -31.9560859, 115.8787075 -31.9561006, 115.8786987 -31.9560978, 115.8786451 -31.956218, 115.8785793 -31.9561969, 115.8786341 -31.9560741))",-31.956140370708436,115.87864322667771
