name,building_type_name,osm_id,geometry,lat,lon
building_0,building_yes,N559896928,POINT (115.8433837 -31.9480197),-31.9480197,115.8433837
building_1,building_yes,N559897587,POINT (115.836747 -31.9508049),-31.9508049,115.836747
building_2,building_yes,N559897590,POINT (115.8367147 -31.950874),-31.950874,115.8367147
building_3,building_yes,N559899605,POINT (115.8402172 -31.9488196),-31.9488196,115.8402172
building_4,building_yes,N559899845,POINT (115.8431628 -31.9493686),-31.9493686,115.8431628
building_5,building_yes,N559900371,POINT (115.8397804 -31.9468252),-31.9468252,115.8397804
building_6,building_yes,N559902725,POINT (115.8432924 -31.9494178),-31.9494178,115.8432924
building_7,building_yes,N1923646967,POINT (115.8168617 -31.9792997),-31.9792997,115.8168617
building_8,building_yes,N2092167718,POINT (115.8186807 -31.9853772),-31.9853772,115.8186807
building_9,building_yes,N3322670348,POINT (115.8580851 -31.9502247),-31.9502247,115.8580851
building_10,building_yes,N5894463288,POINT (115.8618537 -31.9496083),-31.9496083,115.8618537
building_11,building_yes,N8148075755,POINT (115.8706652 -31.9579192),-31.9579192,115.8706652
building_12,building_yes,N8148080650,POINT (115.8675667 -31.9573121),-31.9573121,115.8675667
building_13,building_yes,N8148087251,POINT (115.8702922 -31.9582505),-31.9582505,115.8702922
building_14,building_yes,N8148102763,POINT (115.8695663 -31.9574474),-31.9574474,115.8695663
building_15,building_yes,N8148106582,POINT (115.869567 -31.9578401),-31.9578401,115.869567
building_16,building_yes,N8148109304,POINT (115.8691457 -31.9576886),-31.9576886,115.8691457
building_17,building_yes,N8148119127,POINT (115.8705901 -31.9582715),-31.9582715,115.8705901
building_18,building_yes,W4750989,"POLYGON ((115.8146584 -31.983737, 115.8155402 -31.9837342, 115.8155412 -31.9839647, 115.8155422 -31.9841845, 115.8152838 -31.9841853, 115.8152844 -31.9843211, 115.8146909 -31.9843229, 115.8146904 -31.9842293, 115.8146606 -31.9842294, 115.8146584 -31.983737))",-31.98401075493865,115.81508018070969
building_19,building_yes,W4995121,"POLYGON ((115.8194362 -31.9770724, 115.8195488 -31.977177, 115.8195488 -31.9773033, 115.8194402 -31.9774045, 115.8192816 -31.9774057, 115.8191639 -31.9773129, 115.8191363 -31.9773122, 115.8191112 -31.9773115, 115.8191098 -31.977345, 115.8190517 -31.9773435, 115.8190536 -31.9772946, 115.8190233 -31.977296, 115.8190245 -31.9772334, 115.8190453 -31.9772338, 115.8190437 -31.9771693, 115.8191363 -31.9771695, 115.8191616 -31.9771696, 115.8192833 -31.9770724, 115.8194362 -31.9770724))",-31.977241123761218,115.81931444653337
building_20,building_yes,W4995185,"POLYGON ((115.8241849 -31.9851696, 115.8242917 -31.9852099, 115.8242794 -31.9852333, 115.8242946 -31.9852395, 115.8243096 -31.9852111, 115.8243353 -31.9852206, 115.8243418 -31.9852142, 115.8243532 -31.9852142, 115.8243599 -31.9852208, 115.8243564 -31.9852295, 115.8243819 -31.9852382, 115.8243638 -31.9852771, 115.8245148 -31.9853313, 115.8246674 -31.9853863, 115.8247255 -31.9854302, 115.8246703 -31.9855326, 115.824615 -31.9855159, 115.824568 -31.9856138, 115.8242501 -31.9855014, 115.8242394 -31.9855228, 115.8241509 -31.9854858, 115.8241556 -31.9854693, 115.8240343 -31.9854198, 115.824043 -31.9854033, 115.8240329 -31.9853971, 115.8240664 -31.9853334, 115.8240769 -31.9853395, 115.8241462 -31.9852171, 115.8241849 -31.9851696))",-31.98540130626804,115.82436391310857
building_21,building_yes,W5722897,"POLYGON ((115.8253312 -31.9855778, 115.8259524 -31.985773, 115.8258679 -31.9859665, 115.8252467 -31.9857713, 115.8253312 -31.9855778))",-31.985772150000003,115.82559954999999
building_22,building_yes,W25559267,"POLYGON ((115.8632452 -31.9548697, 115.8630463 -31.9553192, 115.8630129 -31.9553885, 115.8633977 -31.9555215, 115.8634254 -31.9554621, 115.8634953 -31.9554856, 115.8634781 -31.9555248, 115.863603 -31.9555642, 115.8638179 -31.9550825, 115.8636383 -31.9550409, 115.8635443 -31.9549692, 115.8632452 -31.9548697))",-31.95522500220609,115.86341254838821
building_23,building_yes,W25559288,"POLYGON ((115.8630633 -31.9556942, 115.8628908 -31.9560825, 115.8628096 -31.9562652, 115.8627501 -31.9563991, 115.8628536 -31.9564322, 115.862782 -31.9565934, 115.862798 -31.9566245, 115.8629572 -31.9566754, 115.8629967 -31.9566596, 115.8630676 -31.9565, 115.8631283 -31.9563635, 115.8632093 -31.956181, 115.8633769 -31.9558038, 115.8633365 -31.9557909, 115.8633451 -31.9557716, 115.8632872 -31.9557531, 115.8632822 -31.9557643, 115.8630633 -31.9556942))",-31.95616463871251,115.86304417464129
building_24,building_yes,W25560004,"POLYGON ((115.8603457 -31.9547298, 115.8602441 -31.9549474, 115.8606362 -31.9550791, 115.8607378 -31.9548614, 115.8603457 -31.9547298))",-31.954904431224346,115.8604909621071
building_25,building_yes,W25560247,"POLYGON ((115.8632006 -31.9515782, 115.86305 -31.9518142, 115.8633086 -31.9519331, 115.8638797 -31.9521955, 115.8640304 -31.9519595, 115.8632547 -31.951603, 115.8632006 -31.9515782))",-31.951886844847834,115.86354017034792
building_26,building_yes,W25560312,"POLYGON ((115.8646544 -31.9514522, 115.8644223 -31.9518186, 115.8644275 -31.9518732, 115.8644639 -31.9519274, 115.8645144 -31.9519561, 115.8644787 -31.952012, 115.8645482 -31.9520382, 115.8646182 -31.9520553, 115.8647348 -31.9520638, 115.8648408 -31.9520496, 115.8649117 -31.9520257, 115.8649816 -31.9519961, 115.8649438 -31.9519505, 115.8650485 -31.9518766, 115.8650339 -31.9518493, 115.8650768 -31.9517913, 115.86497 -31.9517421, 115.8650513 -31.9516149, 115.8646544 -31.9514522))",-31.951787746436462,115.86474219677253
building_27,building_yes,W30736563,"POLYGON ((115.8605891 -31.9504415, 115.8607777 -31.9503352, 115.8609801 -31.9504312, 115.8611035 -31.9503523, 115.8612612 -31.9504158, 115.8612677 -31.9508856, 115.8611362 -31.950946, 115.8610082 -31.9508962, 115.8609051 -31.9509424, 115.8607486 -31.9508642, 115.8607358 -31.9508349, 115.8606018 -31.950765, 115.8605891 -31.9504415))",-31.950639330937573,115.86094469399993
building_28,building_yes,W43063936,"POLYGON ((115.8252362 -31.9855683, 115.8251635 -31.9857413, 115.8250431 -31.9857049, 115.8250401 -31.985712, 115.8249442 -31.985683, 115.8249576 -31.9856513, 115.8248226 -31.9856104, 115.8248859 -31.98546, 115.8250226 -31.9855014, 115.8250157 -31.9855178, 115.8251058 -31.9855451, 115.8251119 -31.9855307, 115.8252362 -31.9855683))",-31.98560154522164,115.82503073694326
building_29,building_yes,W44038654,"POLYGON ((115.8486119 -31.9484109, 115.849062 -31.9485637, 115.8490006 -31.948695, 115.8485506 -31.9485423, 115.8486119 -31.9484109))",-31.948552966394296,115.84880626015766
building_30,building_yes,W44038655,"POLYGON ((115.8482867 -31.9484156, 115.8485246 -31.9484964, 115.8484559 -31.9486479, 115.8482179 -31.9485672, 115.8482867 -31.9484156))",-31.948531772359264,115.8483712586735
