name,building_type_name,osm_id,geometry,lat,lon
building_0,amenity_place_of_worship,N573615484,POINT (11.2246957 43.8213655),43.8213655,11.2246957
building_1,amenity_school,N715786721,POINT (11.270984 43.7875637),43.7875637,11.270984
building_2,amenity_school,N1005093019,POINT (11.1952696 43.7674498),43.7674498,11.1952696
building_3,amenity_school,N1135816958,POINT (11.2717283 43.7941856),43.7941856,11.2717283
building_4,amenity_place_of_worship,N1352276103,POINT (11.2497952 43.8143877),43.8143877,11.2497952
building_5,amenity_school,N1753911151,POINT (11.2463427 43.759947),43.759947,11.2463427
building_6,amenity_place_of_worship,N2361889852,POINT (11.2249507 43.7911101),43.7911101,11.2249507
building_7,amenity_place_of_worship,N2361963807,POINT (11.2119728 43.7803065),43.7803065,11.2119728
building_8,amenity_school,N2436783956,POINT (11.3166788 43.7674889),43.7674889,11.3166788
building_9,amenity_place_of_worship,N3114407192,POINT (11.2669276 43.7774348),43.7774348,11.2669276
building_10,amenity_place_of_worship,N3118178277,POINT (11.2492544 43.7674951),43.7674951,11.2492544
building_11,amenity_place_of_worship,N3121874613,POINT (11.2583434 43.7671283),43.7671283,11.2583434
building_12,amenity_place_of_worship,N3127386260,POINT (11.2570295 43.77226),43.77226,11.2570295
building_13,amenity_place_of_worship,N3127418845,POINT (11.256713 43.7708791),43.7708791,11.256713
building_14,amenity_place_of_worship,N3999086973,POINT (11.2557348 43.7725651),43.7725651,11.2557348
building_15,amenity_school,N4131128475,POINT (11.2476125 43.7649928),43.7649928,11.2476125
building_16,amenity_school,N4360275717,POINT (11.3054987 43.750557),43.750557,11.3054987
building_17,amenity_place_of_worship,N4696164915,POINT (11.2480375 43.7607651),43.7607651,11.2480375
building_18,amenity_place_of_worship,N4701406592,POINT (11.2558589 43.7751181),43.7751181,11.2558589
building_19,amenity_place_of_worship,N4715083306,POINT (11.2473287 43.7714267),43.7714267,11.2473287
building_20,amenity_place_of_worship,N4758517538,POINT (11.2540676 43.7729814),43.7729814,11.2540676
building_21,amenity_place_of_worship,N4779672237,POINT (11.273003 43.7551964),43.7551964,11.273003
building_22,amenity_school,N5096102885,POINT (11.2649473 43.7674383),43.7674383,11.2649473
building_23,amenity_school,N5191002621,POINT (11.2636825 43.7684096),43.7684096,11.2636825
building_24,amenity_place_of_worship,N5328055520,POINT (11.2868798 43.7525974),43.7525974,11.2868798
building_25,amenity_school,N6266954756,POINT (11.1953875 43.7676616),43.7676616,11.1953875
building_26,amenity_school,N6306662949,POINT (11.2517898 43.7763521),43.7763521,11.2517898
building_27,amenity_place_of_worship,N6312359440,POINT (11.2612578 43.7772928),43.7772928,11.2612578
building_28,amenity_school,N6336404973,POINT (11.2259568 43.7714124),43.7714124,11.2259568
building_29,amenity_place_of_worship,N6349518742,POINT (11.2237469 43.7747098),43.7747098,11.2237469
building_30,amenity_place_of_worship,N6349523089,POINT (11.2468459 43.7771273),43.7771273,11.2468459
building_31,amenity_school,N6391884319,POINT (11.2583591 43.7739051),43.7739051,11.2583591
building_32,amenity_place_of_worship,N6442853248,POINT (11.225629 43.7404902),43.7404902,11.225629
building_33,amenity_place_of_worship,N6685259057,POINT (11.2200896 43.7824327),43.7824327,11.2200896
building_34,amenity_school,N6895452636,POINT (11.2641573 43.7819345),43.7819345,11.2641573
building_35,amenity_school,N6895521172,POINT (11.2445202 43.7761581),43.7761581,11.2445202
building_36,amenity_school,N7250002796,POINT (11.196699 43.7737696),43.7737696,11.196699
building_37,amenity_school,N7250002798,POINT (11.2034819 43.7812877),43.7812877,11.2034819
building_38,amenity_school,N7250002822,POINT (11.2025324 43.7809409),43.7809409,11.2025324
building_39,amenity_school,N7250002831,POINT (11.1953896 43.7744516),43.7744516,11.1953896
building_40,amenity_school,N7250103109,POINT (11.2349751 43.7730531),43.7730531,11.2349751
building_41,amenity_school,N7250103167,POINT (11.2346573 43.7721389),43.7721389,11.2346573
building_42,amenity_school,N7250103190,POINT (11.2261895 43.7742171),43.7742171,11.2261895
building_43,amenity_school,N7250103232,POINT (11.226329 43.7735508),43.7735508,11.226329
building_44,amenity_school,N7251617824,POINT (11.2848589 43.7579885),43.7579885,11.2848589
building_45,amenity_school,N7251617859,POINT (11.2846979 43.7575197),43.7575197,11.2846979
building_46,amenity_school,N7256349427,POINT (11.2639014 43.7683456),43.7683456,11.2639014
building_47,amenity_school,N7285918787,POINT (11.2584841 43.7763656),43.7763656,11.2584841
building_48,amenity_school,N7294821882,POINT (11.323156 43.7848774),43.7848774,11.323156
building_49,amenity_school,N7296457950,POINT (11.2616132 43.7683631),43.7683631,11.2616132
building_50,amenity_school,N7296496959,POINT (11.233572 43.8021106),43.8021106,11.233572
building_51,amenity_school,N7296572174,POINT (11.276395 43.7686631),43.7686631,11.276395
building_52,amenity_school,N7296673424,POINT (11.246962 43.7689077),43.7689077,11.246962
building_53,amenity_place_of_worship,N7297491223,POINT (11.2604597 43.7752933),43.7752933,11.2604597
building_54,amenity_place_of_worship,N7476789812,POINT (11.2482355 43.7735708),43.7735708,11.2482355
building_55,amenity_place_of_worship,N7959956070,POINT (11.2663652 43.7727103),43.7727103,11.2663652
building_56,amenity_place_of_worship,N10706816518,POINT (11.2309017 43.7685993),43.7685993,11.2309017
building_57,amenity_school,N11704436216,POINT (11.2652995 43.7677203),43.7677203,11.2652995
building_58,amenity_place_of_worship,N12135955614,POINT (11.2366794 43.7860184),43.7860184,11.2366794
building_59,amenity_place_of_worship,W24881563,"POLYGON ((11.247868 43.7670802, 11.2479354 43.7670531, 11.2480755 43.7670012, 11.2481018 43.7669914, 11.2482033 43.7669504, 11.2484954 43.7673577, 11.2485602 43.7673367, 11.2486046 43.76732, 11.2486323 43.767311, 11.2488253 43.7675759, 11.2486851 43.7676289, 11.2487576 43.7677326, 11.2486881 43.7677615, 11.2484931 43.7678346, 11.2483966 43.7678708, 11.2483166 43.7677602, 11.2481691 43.7678179, 11.2479831 43.7675701, 11.2481621 43.7675026, 11.2480131 43.7672965, 11.247868 43.7670802))",43.767448136302335,11.248330092154443
building_60,amenity_place_of_worship,W24883267,"POLYGON ((11.2535397 43.7751817, 11.2534973 43.7751651, 11.2534738 43.775191, 11.2534063 43.7752035, 11.2533682 43.7751903, 11.2533406 43.7752159, 11.2531466 43.775132, 11.2531548 43.7751216, 11.2530794 43.7750997, 11.2530712 43.7750763, 11.2530621 43.7750441, 11.2531143 43.7750012, 11.2530981 43.7749934, 11.2531684 43.7749081, 11.2532166 43.7748506, 11.2532632 43.774877, 11.2532867 43.7748548, 11.2533456 43.77484, 11.2533856 43.7748516, 11.253416 43.7748219, 11.2536187 43.7749103, 11.2536555 43.7750247, 11.2535397 43.7751817))",43.77502015605242,11.25336942116565
building_61,amenity_school,W28285855,"POLYGON ((11.3022386 43.7607121, 11.3012675 43.7606198, 11.300941 43.7618179, 11.3014872 43.7617927, 11.3015437 43.7622419, 11.3020508 43.7622047, 11.3025153 43.7621335, 11.3026843 43.7620287, 11.3027703 43.7619335, 11.3027858 43.7618516, 11.3022386 43.7607121))",43.76144946022683,11.301859378057182
building_62,amenity_school,W43373510,"POLYGON ((11.2275272 43.7389124, 11.2279028 43.7389722, 11.228525 43.7387072, 11.2286973 43.7378799, 11.2271371 43.7376916, 11.226823 43.7375702, 11.2265123 43.737725, 11.226403 43.738305, 11.2269526 43.7385203, 11.2272445 43.738756, 11.2273981 43.7389695, 11.2275272 43.7389124))",43.738251878574175,11.227577010673453
building_63,amenity_school,W43373566,"POLYGON ((11.2113585 43.7652243, 11.2116014 43.7654238, 11.2126138 43.7657427, 11.2127424 43.7658454, 11.2126495 43.7659622, 11.2130217 43.7660629, 11.2146372 43.7654474, 11.2135472 43.7641705, 11.2113585 43.7652243))",43.76518192042565,11.213111280198447
building_64,amenity_place_of_worship,W43768260,"POLYGON ((11.2556146 43.7733479, 11.2556129 43.7732918, 11.2556137 43.7732492, 11.2556134 43.7732431, 11.2556097 43.7731537, 11.2556093 43.7731455, 11.255605 43.7730574, 11.2556038 43.7730004, 11.2556023 43.7729505, 11.2565625 43.7729343, 11.256599 43.7729337, 11.2566083 43.7729225, 11.2566604 43.7728854, 11.2567097 43.7728858, 11.2567026 43.7727874, 11.2568427 43.7726839, 11.2570357 43.7726794, 11.2571605 43.7727768, 11.2571604 43.7728734, 11.2572033 43.772873, 11.2572699 43.7729094, 11.2572712 43.7729533, 11.2573967 43.7729492, 11.2575376 43.7730412, 11.2575459 43.7731799, 11.2574186 43.7732788, 11.2572792 43.7732819, 11.2572765 43.7733296, 11.2572292 43.7733638, 11.2571847 43.7733654, 11.2571889 43.7734518, 11.257062 43.773551, 11.256865 43.7735537, 11.256738 43.7734653, 11.2567309 43.7733788, 11.256678 43.7733806, 11.2566267 43.7733533, 11.2566119 43.7733311, 11.2565651 43.7733319, 11.2556146 43.7733479))",43.77312815826047,11.256627514024062
building_65,amenity_school,W57731511,"POLYGON ((11.2835067 43.7851987, 11.2840113 43.7850691, 11.2848327 43.7848612, 11.2850991 43.784972, 11.2851855 43.7853077, 11.2851975 43.7853531, 11.2847309 43.7854187, 11.2849415 43.7860227, 11.2843361 43.7861961, 11.2841181 43.785794, 11.2838312 43.7858807, 11.2835067 43.7851987))",43.785464842192404,11.284387911842899
building_66,amenity_school,W83240488,"POLYGON ((11.2335528 43.7891893, 11.2339955 43.78902, 11.2344507 43.7888335, 11.2351806 43.7897779, 11.2343616 43.7901832, 11.2338022 43.7894958, 11.2335528 43.7891893))",43.789496443153524,11.23438055169737
building_67,amenity_school,W83240489,"POLYGON ((11.2231723 43.7878557, 11.2232247 43.7878991, 11.2232056 43.7879111, 11.2232816 43.7879742, 11.223315 43.7879532, 11.2234205 43.7880409, 11.2234025 43.7880522, 11.2234738 43.7881114, 11.2234927 43.7880996, 11.2235462 43.7881441, 11.2236445 43.7880825, 11.2235264 43.7879843, 11.2236065 43.787934, 11.2237381 43.7880433, 11.2237804 43.7880168, 11.2238291 43.7880572, 11.2238687 43.7880324, 11.2238121 43.7879855, 11.2239843 43.7878772, 11.2239174 43.7878217, 11.2239727 43.7877869, 11.2240043 43.7878131, 11.2240412 43.7877898, 11.2239498 43.7877143, 11.2241645 43.7875789, 11.2240855 43.7875136, 11.2236016 43.7878191, 11.2235197 43.7877515, 11.2237247 43.7876221, 11.223644 43.7875555, 11.2235856 43.7875923, 11.2235689 43.7875786, 11.2235024 43.7876205, 11.2235205 43.7876355, 11.2233973 43.7877131, 11.2233808 43.7876995, 11.2232953 43.7877533, 11.2233125 43.7877675, 11.2231723 43.7878557))",43.78782867802346,11.223639162616
building_68,amenity_place_of_worship,W83480484,"POLYGON ((11.2168471 43.7932708, 11.2164013 43.7934916, 11.2165709 43.7936717, 11.217013 43.7934571, 11.2168471 43.7932708))",43.79347227774413,11.216708482432203
building_69,amenity_school,W83491247,"POLYGON ((11.2440351 43.7993923, 11.2446173 43.8002432, 11.246037 43.799753, 11.2460376 43.7997376, 11.2456581 43.7996758, 11.245662 43.7992886, 11.2454885 43.7989472, 11.2452248 43.7990401, 11.244899 43.7991549, 11.2445951 43.799262, 11.2445446 43.7992798, 11.2444155 43.7992517, 11.2442321 43.7993195, 11.2441074 43.7993656, 11.2440351 43.7993923))",43.79959748708274,11.244987149867292
building_70,amenity_school,W83526002,"POLYGON ((11.2178086 43.7905987, 11.2183211 43.7903511, 11.2171926 43.7891898, 11.2167645 43.7893152, 11.2170064 43.7898051, 11.2170047 43.7898792, 11.2178086 43.7905987))",43.789903303891435,11.217498743771941
building_71,amenity_place_of_worship,W83534349,"POLYGON ((11.2191561 43.7960627, 11.2194191 43.7960462, 11.2194 43.7958877, 11.219137 43.7959042, 11.2191561 43.7960627))",43.7959752,11.21927805
building_72,amenity_place_of_worship,W83534354,"POLYGON ((11.2183139 43.7961263, 11.218422 43.7961011, 11.2184305 43.7960973, 11.2186899 43.7960393, 11.2187806 43.7960178, 11.2187519 43.7959477, 11.2187066 43.7959574, 11.2186917 43.795921, 11.2182495 43.7960327, 11.2183139 43.7961263))",43.79602316226376,11.218516448895468
building_73,amenity_school,W83535805,"POLYGON ((11.2127392 43.7975782, 11.2129881 43.7974657, 11.2128978 43.7973616, 11.2128105 43.7974011, 11.2127645 43.7973481, 11.2127321 43.7973627, 11.2127012 43.797327, 11.2130013 43.7971914, 11.2129202 43.797098, 11.212613 43.7972369, 11.2126364 43.7972639, 11.2125479 43.7973039, 11.2125171 43.7973178, 11.2124535 43.7972446, 11.2121967 43.7973607, 11.2122867 43.7974644, 11.2124147 43.7974065, 11.2125325 43.7975423, 11.2126586 43.7974853, 11.2127392 43.7975782))",43.79736170873244,11.21264676053744
building_74,amenity_place_of_worship,W88569265,"POLYGON ((11.2241196 43.7366701, 11.2240504 43.7366006, 11.224117 43.7365683, 11.2241901 43.7366315, 11.2241196 43.7366701))",43.736618300554554,11.224119630662493
building_75,amenity_place_of_worship,W88571836,"POLYGON ((11.2235081 43.7364999, 11.2233525 43.7363362, 11.2229935 43.7365069, 11.2230276 43.7365403, 11.2229833 43.7365639, 11.222977 43.7366035, 11.2230212 43.7366585, 11.2230576 43.7366615, 11.2230779 43.7366628, 11.2231223 43.73664, 11.2231561 43.7366744, 11.2235081 43.7364999))",43.73651575863508,11.22322932563881
building_76,amenity_place_of_worship,W88625749,"POLYGON ((11.2270776 43.7404535, 11.2272358 43.7404205, 11.2272412 43.7404331, 11.2273029 43.7404205, 11.2272989 43.7404059, 11.227352 43.7403986, 11.2273367 43.7403655, 11.2273775 43.7403557, 11.2273498 43.7402625, 11.2273069 43.7402694, 11.2272463 43.740279, 11.2272401 43.7402641, 11.2271762 43.740276, 11.2271799 43.7402887, 11.2270613 43.7403146, 11.2270199 43.7403236, 11.2270776 43.7404535))",43.74035463415047,11.227203243042714
building_77,amenity_place_of_worship,W91371849,"POLYGON ((11.2650689 43.761569, 11.2650054 43.7614755, 11.2649528 43.7613981, 11.2653996 43.7612396, 11.2654362 43.7612934, 11.265569 43.7612463, 11.2656409 43.761352, 11.265515 43.7613967, 11.2655232 43.7614088, 11.265417 43.7614464, 11.2654391 43.761479, 11.26537 43.7615035, 11.2653475 43.7614702, 11.2650689 43.761569))",43.761393719175125,11.265284668604036
building_78,amenity_place_of_worship,W92372471,"POLYGON ((11.2354691 43.7518229, 11.2354396 43.7518326, 11.2354007 43.7517687, 11.2353672 43.7517745, 11.2353376 43.7517667, 11.2353216 43.7517493, 11.2353202 43.7517251, 11.2353376 43.7517144, 11.2353591 43.7517037, 11.2353894 43.7517123, 11.2354074 43.7517086, 11.2353926 43.7516776, 11.2354101 43.751666, 11.2353336 43.751664, 11.2353229 43.7515952, 11.2353725 43.7515885, 11.2353672 43.7515836, 11.2353524 43.7515836, 11.235347 43.7515565, 11.2353832 43.7515536, 11.2353873 43.7514654, 11.2354811 43.7514683, 11.2354785 43.7515555, 11.2354356 43.7515517, 11.2354369 43.7515604, 11.2354624 43.7515633, 11.2354624 43.7515846, 11.2354288 43.7515846, 11.2354476 43.7515962, 11.2354449 43.7516631, 11.2355039 43.7516456, 11.235563 43.7516476, 11.235622 43.7516592, 11.2356716 43.7516727, 11.2357158 43.751695, 11.2357588 43.7517231, 11.2357923 43.7517619, 11.2358191 43.7518045, 11.2358245 43.7518219, 11.23563 43.751882, 11.2356193 43.7518607, 11.2356032 43.751883, 11.2355871 43.7518965, 11.2355536 43.7519072, 11.23552 43.7519062, 11.2354932 43.7518965, 11.2354771 43.7518772, 11.2354731 43.7518636, 11.2354691 43.7518452, 11.2354691 43.7518229))",43.75172791155686,11.235541849105877
building_79,amenity_place_of_worship,W98315398,"POLYGON ((11.2990988 43.7554042, 11.2990599 43.75532, 11.2990964 43.7553112, 11.2991607 43.7552989, 11.2991502 43.755273, 11.2992718 43.7552483, 11.299325 43.7552371, 11.2994235 43.755217, 11.2994367 43.7552569, 11.2994931 43.7552408, 11.2995167 43.7553165, 11.299421 43.7553459, 11.2991542 43.7553919, 11.2991376 43.7553948, 11.2990988 43.7554042))",43.75531038762175,11.299290819355955
building_80,amenity_place_of_worship,W102979678,"POLYGON ((11.2667185 43.7727073, 11.266666 43.7726419, 11.2666487 43.7726496, 11.2666091 43.7726056, 11.2665544 43.7725449, 11.2665716 43.7725377, 11.2665189 43.7724753, 11.2663695 43.7725443, 11.2661834 43.772629, 11.2659838 43.7727215, 11.2660012 43.7727448, 11.2659968 43.7727587, 11.2660191 43.7727855, 11.2660351 43.7727872, 11.2661406 43.7728963, 11.2661354 43.7729164, 11.2661526 43.7729369, 11.2661737 43.7729395, 11.2661884 43.7729583, 11.2663875 43.7728629, 11.2665731 43.7727777, 11.2667185 43.7727073))",43.772718288862634,11.266346291923838
