name,building_type_name,osm_id,geometry,lat,lon
building_0,building_yes,N2361762204,POINT (11.2720259 43.7871858),43.7871858,11.2720259
building_1,building_apartments,N2361765128,POINT (11.2206917 43.7925369),43.7925369,11.2206917
building_2,building_apartments,N2361921522,POINT (11.2221904 43.7924469),43.7924469,11.2221904
building_3,building_apartments,N2361924621,POINT (11.2198479 43.7930238),43.7930238,11.2198479
building_4,building_apartments,N2361925270,POINT (11.2217065 43.7926869),43.7926869,11.2217065
building_5,building_apartments,N2361925495,POINT (11.2215512 43.7927585),43.7927585,11.2215512
building_6,building_apartments,N2361928064,POINT (11.2198666 43.7930476),43.7930476,11.2198666
building_7,building_apartments,N2361928698,POINT (11.220817 43.7931021),43.7931021,11.220817
building_8,building_apartments,N2361930765,POINT (11.2198793 43.7930644),43.7930644,11.2198793
building_9,building_apartments,N2361931253,POINT (11.2206141 43.7931969),43.7931969,11.2206141
building_10,building_apartments,N2361947894,POINT (11.2196916 43.7934675),43.7934675,11.2196916
building_11,building_residential,N2364519585,POINT (11.2711883 43.7711761),43.7711761,11.2711883
building_12,building_yes,N5979891857,POINT (11.2190275 43.7724828),43.7724828,11.2190275
building_13,building_yes,N10027912196,POINT (11.245303 43.7998343),43.7998343,11.245303
building_14,building_yes,W24837790,"POLYGON ((11.2253323 43.7864292, 11.225678 43.7863261, 11.2257028 43.7863138, 11.2257084 43.786293, 11.2257061 43.7862697, 11.2257126 43.7862466, 11.2257254 43.7862165, 11.2257301 43.7861971, 11.2257276 43.7861765, 11.2257044 43.786162, 11.2254071 43.7859771, 11.2252945 43.7860547, 11.2252677 43.7860897, 11.2250739 43.7860892, 11.2250565 43.7862463, 11.2253424 43.7863087, 11.2253566 43.7863316, 11.2252835 43.7863548, 11.2253323 43.7864292))",43.786203805617035,11.225405970282328
building_15,building_yes,W24883267,"POLYGON ((11.2535397 43.7751817, 11.2534973 43.7751651, 11.2534738 43.775191, 11.2534063 43.7752035, 11.2533682 43.7751903, 11.2533406 43.7752159, 11.2531466 43.775132, 11.2531548 43.7751216, 11.2530794 43.7750997, 11.2530712 43.7750763, 11.2530621 43.7750441, 11.2531143 43.7750012, 11.2530981 43.7749934, 11.2531684 43.7749081, 11.2532166 43.7748506, 11.2532632 43.774877, 11.2532867 43.7748548, 11.2533456 43.77484, 11.2533856 43.7748516, 11.253416 43.7748219, 11.2536187 43.7749103, 11.2536555 43.7750247, 11.2535397 43.7751817))",43.77502015605242,11.25336942116565
building_16,building_dormitory,W25006175,"POLYGON ((11.2338307 43.7861645, 11.2344221 43.7867728, 11.2346914 43.7866353, 11.2341095 43.7860258, 11.2338307 43.7861645))",43.78639831745134,11.234262054772811
