time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,N4899731690,132,132,amenity_school,N4899731690
2024-01-01 00:00:00,N4460642611,112,112,amenity_school,N4460642611
2024-01-01 00:00:00,N4512541990,109,109,amenity_place_of_worship,N4512541990
2024-01-01 00:00:00,N4900099965,101,101,amenity_school,N4900099965
2024-01-01 00:00:00,N5886097085,100,100,tourism_hostel,N5886097085
2024-01-01 00:00:00,N4949116892,93,93,amenity_place_of_worship,N4949116892
2024-01-01 00:00:00,N2999707498,90,90,amenity_place_of_worship,N2999707498
2024-01-01 00:00:00,N4899969200,90,90,amenity_school,N4899969200
2024-01-01 00:00:00,N4899886519,85,98,amenity_place_of_worship,N4899886519
2024-01-01 00:00:00,N4327888589,79,79,tourism_hostel,N4327888589
2024-01-01 00:00:00,N4952145783,76,76,tourism_hostel,N4952145783
2024-01-01 00:00:00,N4899732636,75,75,amenity_school,N4899732636
2024-01-01 00:00:00,N4233065397,75,75,amenity_school,N4233065397
2024-01-01 00:00:00,N4959651311,71,71,amenity_school,N4959651311
2024-01-01 00:00:00,N4965741512,69,69,amenity_place_of_worship,N4965741512
2024-01-01 00:00:00,N4940319493,65,67,amenity_school,N4940319493
2024-01-01 00:00:00,N4796660922,63,63,amenity_community_centre,N4796660922
2024-01-01 00:00:00,N4902164966,60,60,amenity_school,N4902164966
2024-01-01 00:00:00,N4897291361,59,59,amenity_school,N4897291361
2024-01-01 00:00:00,N4908858218,59,59,amenity_school,N4908858218
2024-01-01 00:00:00,N4893382111,52,52,amenity_place_of_worship,N4893382111
2024-01-01 00:00:00,N4914942748,50,50,amenity_school,N4914942748
2024-01-01 00:00:00,N4910725731,50,50,amenity_school,N4910725731
2024-01-01 00:00:00,W1165427367,47,47,amenity_school,W1165427367
2024-01-01 00:00:00,N4910725732,44,44,amenity_school,N4910725732
2024-01-01 00:00:00,N4911047089,44,44,amenity_school,N4911047089
2024-01-01 00:00:00,N4181740589,43,43,amenity_school,N4181740589
2024-01-01 00:00:00,N4986870862,42,42,amenity_school,N4986870862
2024-01-01 00:00:00,N4922422171,40,40,amenity_school,N4922422171
