time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,W301694701,245,245,amenity_place_of_worship,W301694701
2024-01-01 00:00:00,N4060532226,159,159,railway_subway_entrance,N4060532226
2024-01-01 00:00:00,N3837244786,137,137,tourism_hostel,N3837244786
2024-01-01 00:00:00,N4060532222,126,135,railway_subway_entrance,N4060532222
2024-01-01 00:00:00,N571811762,102,102,railway_subway_entrance,N571811762
2024-01-01 00:00:00,N9423152961,92,92,tourism_hostel,N9423152961
2024-01-01 00:00:00,W300969657,91,91,amenity_place_of_worship,W300969657
2024-01-01 00:00:00,W305271005,85,85,amenity_community_centre,W305271005
2024-01-01 00:00:00,N4267974389,70,73,tourism_hostel,N4267974389
2024-01-01 00:00:00,W518582008,63,70,amenity_place_of_worship,W518582008
2024-01-01 00:00:00,N5056378492,58,58,tourism_hostel,N5056378492
2024-01-01 00:00:00,W891085786,58,58,amenity_place_of_worship,W891085786
2024-01-01 00:00:00,N482329037,58,128,railway_subway_entrance,N482329037
2024-01-01 00:00:00,N620032721,55,75,amenity_place_of_worship,N620032721
2024-01-01 00:00:00,W201671663,55,55,amenity_school,W201671663
2024-01-01 00:00:00,W40321136,52,52,amenity_school,W40321136
2024-01-01 00:00:00,N506170042,51,51,railway_subway_entrance,N506170042
2024-01-01 00:00:00,W302874410,49,49,amenity_place_of_worship,W302874410
2024-01-01 00:00:00,W297437908,49,49,amenity_place_of_worship,W297437908
2024-01-01 00:00:00,W40347954,48,50,amenity_school,W40347954
2024-01-01 00:00:00,N4060532223,47,117,railway_subway_entrance,N4060532223
2024-01-01 00:00:00,W521860095,47,47,amenity_place_of_worship,W521860095
2024-01-01 00:00:00,W146669294,42,42,amenity_place_of_worship,W146669294
2024-01-01 00:00:00,W185201414,41,41,amenity_school,W185201414
2024-01-01 00:00:00,W40287021,41,48,amenity_school,W40287021
2024-01-01 00:00:00,N1851625175,41,41,railway_subway_entrance,N1851625175
2024-01-01 00:00:00,W138646173,39,43,amenity_school,W138646173
2024-01-01 00:00:00,W164635674,39,39,amenity_school,W164635674
2024-01-01 00:00:00,W112164512,38,38,amenity_place_of_worship,W112164512
2024-01-01 00:00:00,N4060532217,37,40,railway_subway_entrance,N4060532217
2024-01-01 00:00:00,R6809489,36,36,tourism_hostel,R6809489
2024-01-01 00:00:00,W248684621,36,36,amenity_school,W248684621
2024-01-01 00:00:00,W290069948,35,35,amenity_place_of_worship,W290069948
2024-01-01 00:00:00,W53668485,33,33,amenity_school,W53668485
2024-01-01 00:00:00,W301583287,31,37,amenity_place_of_worship,W301583287
2024-01-01 00:00:00,W138709160,31,31,amenity_school,W138709160
2024-01-01 00:00:00,W40111841,29,31,amenity_place_of_worship,W40111841
2024-01-01 00:00:00,W201506082,27,28,amenity_school,W201506082
2024-01-01 00:00:00,N4708519025,26,52,tourism_hostel,N4708519025
2024-01-01 00:00:00,W28757167,26,63,amenity_place_of_worship,W28757167
2024-01-01 00:00:00,N5299547436,25,25,railway_subway_entrance,N5299547436
2024-01-01 00:00:00,N4944875070,24,24,railway_subway_entrance,N4944875070
2024-01-01 00:00:00,N571803300,23,23,railway_subway_entrance,N571803300
2024-01-01 00:00:00,W185282136,23,23,amenity_school,W185282136
2024-01-01 00:00:00,N2326472794,23,35,amenity_place_of_worship,N2326472794
2024-01-01 00:00:00,W52528082,22,42,tourism_hostel,W52528082
2024-01-01 00:00:00,W163196945,21,21,amenity_place_of_worship,W163196945
