date,hour_of_day,osmid,subarea,help_convined,help_independent,rank
2024-03-25,5,N4060532227,Uribarri,25,25,1
2024-03-25,5,N4060532217,Otxarkoaga-Txurdinaga,10,10,1
2024-03-25,5,W485363913,Ibaiondo,7,7,1
2024-03-25,5,N4508853267,Uribarri,4,4,2
2024-03-25,5,W28776478,Abando,3,3,1
2024-03-25,5,N4060532216,Otxarkoaga-Txurdinaga,2,2,2
2024-03-25,6,N4060532227,Uribarri,25,25,1
2024-03-25,6,N4060532217,Otxarkoaga-Txurdinaga,10,10,1
2024-03-25,6,W485363913,Ibaiondo,7,7,1
2024-03-25,6,N4508853267,Uribarri,4,4,2
2024-03-25,6,N5056379164,Abando,3,3,1
2024-03-25,6,N5301954699,Basurtu-Zorrotza,3,3,1
2024-03-25,6,W28776478,Abando,3,3,2
2024-03-25,6,W44113519,Abando,3,3,3
2024-03-25,6,N4060532216,Otxarkoaga-Txurdinaga,2,2,2
2024-03-25,7,N4060532227,Uribarri,25,25,1
2024-03-25,7,N4060532217,Otxarkoaga-Txurdinaga,10,10,1
2024-03-25,7,W485363913,Ibaiondo,7,7,1
2024-03-25,7,N4508853267,Uribarri,4,4,2
2024-03-25,7,N5056379164,Abando,3,3,1
2024-03-25,7,N5301954699,Basurtu-Zorrotza,3,3,1
2024-03-25,7,W28776478,Abando,3,3,2
2024-03-25,7,W44113519,Abando,3,3,3
2024-03-25,7,N4060532216,Otxarkoaga-Txurdinaga,2,2,2
2024-03-25,8,N4060532227,Uribarri,25,25,1
2024-03-25,8,N5056355015,Uribarri,15,15,2
2024-03-25,8,N4060532217,Otxarkoaga-Txurdinaga,10,10,1
2024-03-25,8,N5056356248,Uribarri,10,10,3
2024-03-25,8,W485363913,Ibaiondo,7,7,1
2024-03-25,8,W164510985,Otxarkoaga-Txurdinaga,4,8,2
2024-03-25,8,N4508853267,Uribarri,4,4,4
2024-03-25,8,W185205688,Deusto,4,4,1
2024-03-25,8,N4254043797,Deusto,3,3,2
2024-03-25,8,N5056379164,Abando,3,3,1
2024-03-25,8,N5056437799,Deusto,3,3,3
2024-03-25,8,N5301954699,Basurtu-Zorrotza,3,3,1
2024-03-25,8,W28776478,Abando,3,3,2
2024-03-25,8,W397099000,Ibaiondo,3,3,2
2024-03-25,8,W44113519,Abando,3,3,3
2024-03-25,8,N4060532216,Otxarkoaga-Txurdinaga,2,2,3
2024-03-25,8,N5056184623,Errekalde,2,2,1
2024-03-25,8,W123440604,Uribarri,2,2,5
2024-03-25,8,W290069950,Deusto,2,2,4
2024-03-25,8,W41415573,Errekalde,2,2,2
2024-03-25,8,W41688628,Abando,2,2,4
2024-03-25,8,W123440625,Uribarri,1,1,6
2024-03-25,8,W162445376,Uribarri,1,1,7
2024-03-25,8,W305622069,Begona,1,1,1
2024-03-25,8,W376396126,Ibaiondo,1,1,3
2024-03-25,9,W108497734,Ibaiondo,41,41,1
2024-03-25,9,N4060532227,Uribarri,25,25,1
2024-03-25,9,W110895854,Abando,19,19,1
2024-03-25,9,N5056355015,Uribarri,15,15,2
2024-03-25,9,W108504682,Abando,14,14,2
2024-03-25,9,N9607467466,Basurtu-Zorrotza,11,11,1
2024-03-25,9,N4060532217,Otxarkoaga-Txurdinaga,10,10,1
2024-03-25,9,N5056356248,Uribarri,10,10,3
2024-03-25,9,N11229801356,Ibaiondo,8,8,2
2024-03-25,9,W420558992,Ibaiondo,8,8,3
2024-03-25,9,N9607455457,Errekalde,7,7,1
2024-03-25,9,W485363913,Ibaiondo,7,7,4
2024-03-25,9,N4761972760,Abando,6,6,3
2024-03-25,9,W235157481,Otxarkoaga-Txurdinaga,6,6,2
2024-03-25,9,N5056328910,Begona,5,5,1
2024-03-25,9,N9607363904,Uribarri,5,5,4
2024-03-25,9,W96337695,Abando,5,5,4
2024-03-25,9,W164510985,Otxarkoaga-Txurdinaga,4,8,3
2024-03-25,9,N4508853267,Uribarri,4,4,5
2024-03-25,9,N9607391207,Begona,4,4,2
2024-03-25,9,W185205688,Deusto,4,4,1
2024-03-25,9,N11229807742,Basurtu-Zorrotza,3,3,2
2024-03-25,9,N4254043797,Deusto,3,3,2
2024-03-25,9,N4731925117,Abando,3,3,5
2024-03-25,9,N5056379164,Abando,3,3,6
2024-03-25,9,N5056437799,Deusto,3,3,3
2024-03-25,9,N5301954699,Basurtu-Zorrotza,3,3,3
2024-03-25,9,W28776478,Abando,3,3,7
2024-03-25,9,W397099000,Ibaiondo,3,3,5
2024-03-25,9,W44113519,Abando,3,3,8
2024-03-25,9,N10308519810,Deusto,2,2,4
2024-03-25,9,N5056183351,Errekalde,2,2,2
2024-03-25,9,N5056184623,Errekalde,2,2,3
2024-03-25,9,W164512079,Otxarkoaga-Txurdinaga,2,2,4
2024-03-25,9,W290069950,Deusto,2,2,5
2024-03-25,9,W41415573,Errekalde,2,2,4
2024-03-25,9,W41688628,Abando,2,2,9
2024-03-25,9,N4060532216,Otxarkoaga-Txurdinaga,1,2,5
2024-03-25,9,N5056088727,Ibaiondo,1,1,6
2024-03-25,9,N5056421870,Deusto,1,1,6
2024-03-25,9,W123440625,Uribarri,1,1,6
2024-03-25,9,W162445376,Uribarri,1,1,7
2024-03-25,9,W305622069,Begona,1,1,3
2024-03-25,9,W376396126,Ibaiondo,1,1,7
2024-03-25,10,W108497734,Ibaiondo,41,41,1
2024-03-25,10,N4060532227,Uribarri,25,25,1
2024-03-25,10,W110895854,Abando,19,19,1
2024-03-25,10,N5056355015,Uribarri,15,15,2
2024-03-25,10,W108504682,Abando,14,14,2
2024-03-25,10,N9607467466,Basurtu-Zorrotza,11,11,1
2024-03-25,10,N4060532217,Otxarkoaga-Txurdinaga,10,10,1
2024-03-25,10,N5056356248,Uribarri,10,10,3
2024-03-25,10,W28211432,Abando,9,9,3
2024-03-25,10,W44016098,Abando,9,9,4
2024-03-25,10,N11229801356,Ibaiondo,8,8,2
2024-03-25,10,W420558992,Ibaiondo,8,8,3
2024-03-25,10,N9607455457,Errekalde,7,7,1
2024-03-25,10,W404432093,Ibaiondo,7,7,4
2024-03-25,10,W485363913,Ibaiondo,7,7,5
2024-03-25,10,N4761972760,Abando,6,6,5
2024-03-25,10,W235157481,Otxarkoaga-Txurdinaga,6,6,2
2024-03-25,10,N5056328910,Begona,5,5,1
2024-03-25,10,N9607363904,Uribarri,5,5,4
2024-03-25,10,W96337695,Abando,5,5,6
2024-03-25,10,W164510985,Otxarkoaga-Txurdinaga,4,8,3
2024-03-25,10,W41525574,Ibaiondo,4,5,6
2024-03-25,10,N4508853267,Uribarri,4,4,5
2024-03-25,10,N9607391207,Begona,4,4,2
2024-03-25,10,W185205688,Deusto,4,4,1
2024-03-25,10,N11229807742,Basurtu-Zorrotza,3,3,2
2024-03-25,10,N4254043797,Deusto,3,3,2
2024-03-25,10,N4731925117,Abando,3,3,7
2024-03-25,10,N5056379164,Abando,3,3,8
2024-03-25,10,N5056437799,Deusto,3,3,3
2024-03-25,10,N5301954699,Basurtu-Zorrotza,3,3,3
2024-03-25,10,W397099000,Ibaiondo,3,3,7
2024-03-25,10,W44113519,Abando,3,3,9
2024-03-25,10,N10308519810,Deusto,2,2,4
2024-03-25,10,N5056183351,Errekalde,2,2,2
2024-03-25,10,N5056184623,Errekalde,2,2,3
2024-03-25,10,W164512079,Otxarkoaga-Txurdinaga,2,2,4
2024-03-25,10,W290069950,Deusto,2,2,5
2024-03-25,10,W41415573,Errekalde,2,2,4
2024-03-25,10,W41688628,Abando,2,2,10
