date,hour_of_day,osmid,subarea,help_convined,help_independent,rank,building_type_name
2024-03-25,0,W301694701,Basurtu-Zorrotza,246,246,1,amenity_place_of_worship
2024-03-25,0,W108497734,Ibaiondo,160,160,1,building_public
2024-03-25,0,N4952944853,Uribarri,155,155,1,railway_subway_entrance
2024-03-25,0,N3207631929,Abando,135,135,1,amenity_arts_centre
2024-03-25,0,N4060532222,Uribarri,129,137,2,railway_subway_entrance
2024-03-25,0,W300969657,Basurtu-Zorrotza,96,96,2,amenity_place_of_worship
2024-03-25,0,W305271005,Uribarri,88,88,3,amenity_community_centre
2024-03-25,0,N4739465025,Ibaiondo,85,85,2,amenity_arts_centre
2024-03-25,0,N9423152961,Abando,76,96,2,tourism_hostel
2024-03-25,0,N5056378492,Abando,58,58,3,tourism_hostel
2024-03-25,0,W891085786,Errekalde,57,57,1,amenity_place_of_worship
2024-03-25,0,N620032721,Uribarri,56,69,4,amenity_place_of_worship
2024-03-25,0,W201671663,Otxarkoaga-Txurdinaga,56,56,1,amenity_school
2024-03-25,0,N4105324002,Abando,55,55,4,amenity_police
2024-03-25,0,W518582008,Abando,54,66,5,amenity_place_of_worship
2024-03-25,0,W40321136,Ibaiondo,53,53,3,amenity_school
2024-03-25,0,N506170042,Begona,51,51,1,railway_subway_entrance
2024-03-25,0,W297437908,Basurtu-Zorrotza,49,49,3,amenity_place_of_worship
2024-03-25,0,W302874410,Uribarri,49,49,5,amenity_place_of_worship
2024-03-25,0,N4060532221,Uribarri,47,108,6,railway_subway_entrance
2024-03-25,0,N1851625175,Abando,46,47,6,railway_subway_entrance
2024-03-25,0,N6612828074,Ibaiondo,46,46,4,amenity_place_of_worship
2024-03-25,0,N11641427626,Deusto,45,45,1,tourism_museum
2024-03-25,0,W521860095,Basurtu-Zorrotza,44,44,4,amenity_place_of_worship
2024-03-25,0,W146669294,Errekalde,42,42,2,amenity_place_of_worship
2024-03-25,0,N4060532216,Otxarkoaga-Txurdinaga,39,39,2,railway_subway_entrance
2024-03-25,0,W112164512,Deusto,38,38,2,amenity_place_of_worship
2024-03-25,0,N4060532217,Otxarkoaga-Txurdinaga,37,40,3,railway_subway_entrance
2024-03-25,0,W302871940,Begona,36,48,2,amenity_school
2024-03-25,0,W248684621,Deusto,36,36,3,amenity_school
2024-03-25,0,W138646173,Basurtu-Zorrotza,35,47,5,amenity_school
2024-03-25,0,W53668485,Ibaiondo,33,33,5,amenity_school
2024-03-25,0,W40287021,Ibaiondo,31,49,6,amenity_school
2024-03-25,0,W138709160,Errekalde,31,31,3,amenity_school
2024-03-25,0,W40111841,Begona,30,32,3,amenity_place_of_worship
2024-03-25,0,W41577091,Ibaiondo,29,55,7,amenity_place_of_worship
2024-03-25,0,W40347954,Begona,28,33,4,amenity_school
2024-03-25,0,N610953374,Uribarri,27,79,7,amenity_place_of_worship
2024-03-25,0,W248831480,Abando,27,31,7,amenity_school
2024-03-25,0,W201506082,Otxarkoaga-Txurdinaga,27,28,4,amenity_school
2024-03-25,0,R6809489,Begona,25,35,5,tourism_hostel
2024-03-25,0,N3696895644,Deusto,25,25,4,amenity_theatre
2024-03-25,0,N11229801356,Ibaiondo,23,36,8,amenity_library
2024-03-25,0,N5299547436,Deusto,23,25,5,railway_subway_entrance
2024-03-25,0,N4944875070,Basurtu-Zorrotza,23,23,6,railway_subway_entrance
2024-03-25,0,W185282136,Deusto,23,23,6,amenity_school
2024-03-25,0,W52528082,Basurtu-Zorrotza,22,43,7,tourism_hostel
2024-03-25,0,W111740255,Errekalde,22,30,4,building_train_station
