,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31
0:00,0,0,0,0,0,0,8
1:00,0,0,0,0,0,0,8
2:00,0,0,0,0,0,0,8
3:00,0,0,0,0,0,0,8
4:00,0,0,0,0,0,0,8
5:00,9,9,9,9,9,1,9
6:00,14,14,14,14,14,14,14
7:00,14,14,14,14,14,14,14
8:00,31,31,31,31,31,23,14
9:00,54,55,55,55,55,39,26
10:00,59,59,61,61,61,46,30
11:00,61,63,65,65,65,50,34
12:00,61,63,65,65,65,50,35
13:00,60,62,64,64,64,49,34
14:00,59,61,63,63,63,47,33
15:00,49,49,51,51,50,32,29
16:00,51,52,54,54,53,33,21
17:00,55,57,58,58,59,33,21
18:00,57,60,61,61,62,36,24
19:00,57,60,61,61,62,36,24
20:00,54,56,57,57,58,33,19
21:00,45,46,46,46,46,28,18
22:00,22,22,22,22,22,25,17
23:00,15,15,15,15,15,15,15
