time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,N5838293028,408,408,amenity_community_centre,N5838293028
2024-01-01 00:00:00,N3050976553,387,387,amenity_school,N3050976553
2024-01-01 00:00:00,W222557626,355,355,amenity_community_centre,W222557626
2024-01-01 00:00:00,W59423468,303,303,amenity_community_centre,W59423468
2024-01-01 00:00:00,W125514196,282,282,amenity_community_centre,W125514196
2024-01-01 00:00:00,N5104989872,247,247,amenity_community_centre,N5104989872
2024-01-01 00:00:00,W60896918,244,244,amenity_community_centre,W60896918
2024-01-01 00:00:00,N8691471884,229,229,amenity_community_centre,N8691471884
2024-01-01 00:00:00,N5806207737,229,229,amenity_community_centre,N5806207737
2024-01-01 00:00:00,W60805420,227,227,amenity_school,W60805420
2024-01-01 00:00:00,W50380043,226,226,amenity_place_of_worship,W50380043
2024-01-01 00:00:00,W78068861,222,222,tourism_hostel,W78068861
2024-01-01 00:00:00,N11688254314,217,217,amenity_place_of_worship,N11688254314
2024-01-01 00:00:00,W67841465,212,212,amenity_place_of_worship,W67841465
2024-01-01 00:00:00,W38507701,207,207,amenity_school,W38507701
2024-01-01 00:00:00,W67836005,201,201,amenity_place_of_worship,W67836005
2024-01-01 00:00:00,W61818039,201,201,amenity_place_of_worship,W61818039
2024-01-01 00:00:00,W1126586707,192,192,amenity_school,W1126586707
2024-01-01 00:00:00,N2987909476,191,191,tourism_hostel,N2987909476
2024-01-01 00:00:00,W58373723,188,188,amenity_place_of_worship,W58373723
2024-01-01 00:00:00,N10985271376,187,187,amenity_school,N10985271376
2024-01-01 00:00:00,W238308128,186,186,amenity_place_of_worship,W238308128
2024-01-01 00:00:00,N3258996778,183,183,tourism_hostel,N3258996778
2024-01-01 00:00:00,N675327008,178,178,amenity_community_centre,N675327008
2024-01-01 00:00:00,N2468811454,174,187,amenity_community_centre,N2468811454
2024-01-01 00:00:00,W28187595,172,172,amenity_place_of_worship,W28187595
2024-01-01 00:00:00,N9686682669,168,197,amenity_school,N9686682669
2024-01-01 00:00:00,W268331002,167,167,amenity_school,W268331002
2024-01-01 00:00:00,W67841390,167,167,amenity_place_of_worship,W67841390
2024-01-01 00:00:00,N10936747810,166,166,amenity_place_of_worship,N10936747810
2024-01-01 00:00:00,W653700403,166,166,amenity_school,W653700403
2024-01-01 00:00:00,W39256664,164,164,amenity_place_of_worship,W39256664
2024-01-01 00:00:00,W58682997,163,163,amenity_community_centre,W58682997
2024-01-01 00:00:00,N2680172668,157,157,tourism_hostel,N2680172668
2024-01-01 00:00:00,W1285196502,156,156,amenity_school,W1285196502
2024-01-01 00:00:00,W49293383,155,155,amenity_place_of_worship,W49293383
2024-01-01 00:00:00,W929737943,152,152,amenity_school,W929737943
2024-01-01 00:00:00,W78147337,148,148,amenity_place_of_worship,W78147337
2024-01-01 00:00:00,N1847507552,144,144,tourism_hostel,N1847507552
2024-01-01 00:00:00,W34371782,143,143,amenity_place_of_worship,W34371782
2024-01-01 00:00:00,W64978847,134,134,amenity_place_of_worship,W64978847
2024-01-01 00:00:00,W222139956,131,139,amenity_school,W222139956
