time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,W407603570,150,150,amenity_school,W407603570
2024-01-01 00:00:00,W405396473,135,135,amenity_school,W405396473
2024-01-01 00:00:00,N10254890647,134,134,amenity_community_centre,N10254890647
2024-01-01 00:00:00,N4727983419,126,126,amenity_place_of_worship,N4727983419
2024-01-01 00:00:00,W605434694,123,123,amenity_school,W605434694
2024-01-01 00:00:00,W403546687,118,118,amenity_school,W403546687
2024-01-01 00:00:00,N10558865664,117,117,amenity_place_of_worship,N10558865664
2024-01-01 00:00:00,W309830929,114,114,tourism_hostel,W309830929
2024-01-01 00:00:00,W267317313,110,110,amenity_place_of_worship,W267317313
2024-01-01 00:00:00,N6165546063,107,107,tourism_hostel,N6165546063
2024-01-01 00:00:00,W405042178,105,105,amenity_school,W405042178
2024-01-01 00:00:00,W342690940,100,100,amenity_community_centre,W342690940
2024-01-01 00:00:00,W408125649,98,98,amenity_school,W408125649
2024-01-01 00:00:00,W409408243,91,91,amenity_school,W409408243
2024-01-01 00:00:00,W409395023,89,89,amenity_school,W409395023
2024-01-01 00:00:00,W333046297,89,89,amenity_place_of_worship,W333046297
2024-01-01 00:00:00,W415477028,86,86,amenity_community_centre,W415477028
2024-01-01 00:00:00,W404167534,80,80,amenity_school,W404167534
2024-01-01 00:00:00,W405038583,78,78,amenity_school,W405038583
2024-01-01 00:00:00,N4844714433,75,75,amenity_community_centre,N4844714433
2024-01-01 00:00:00,W302909764,72,72,amenity_place_of_worship,W302909764
2024-01-01 00:00:00,W405036321,72,72,amenity_school,W405036321
2024-01-01 00:00:00,W406541386,71,71,amenity_school,W406541386
2024-01-01 00:00:00,W292683561,64,64,amenity_school,W292683561
2024-01-01 00:00:00,W368369821,63,63,amenity_place_of_worship,W368369821
2024-01-01 00:00:00,W405051703,63,63,amenity_school,W405051703
2024-01-01 00:00:00,N7516183570,61,61,amenity_community_centre,N7516183570
2024-01-01 00:00:00,W405055523,61,61,amenity_school,W405055523
2024-01-01 00:00:00,N7516183562,59,59,amenity_community_centre,N7516183562
2024-01-01 00:00:00,N5839275085,58,58,tourism_hostel,N5839275085
2024-01-01 00:00:00,W323038916,55,55,amenity_community_centre,W323038916
2024-01-01 00:00:00,W201389949,54,54,amenity_school,W201389949
2024-01-01 00:00:00,N11056325167,53,53,tourism_hostel,N11056325167
2024-01-01 00:00:00,W265902029,51,51,amenity_school,W265902029
2024-01-01 00:00:00,N9818890209,50,50,amenity_community_centre,N9818890209
2024-01-01 00:00:00,W268569848,49,49,amenity_school,W268569848
2024-01-01 00:00:00,W405210788,47,47,amenity_school,W405210788
2024-01-01 00:00:00,W403993001,46,46,amenity_school,W403993001
2024-01-01 00:00:00,W305129805,46,46,amenity_school,W305129805
2024-01-01 00:00:00,W408124285,46,46,amenity_school,W408124285
2024-01-01 00:00:00,N1939562826,44,77,amenity_place_of_worship,N1939562826
2024-01-01 00:00:00,N10254890625,44,95,amenity_community_centre,N10254890625
2024-01-01 00:00:00,W305791859,40,48,tourism_hostel,W305791859
2024-01-01 00:00:00,W336658225,38,38,amenity_school,W336658225
2024-01-01 00:00:00,W359253837,37,58,amenity_school,W359253837
