time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,W226523002,1061,1061,amenity_place_of_worship,W226523002
2024-01-01 00:00:00,W636634918,923,923,amenity_school,W636634918
2024-01-01 00:00:00,W792918697,813,813,amenity_community_centre,W792918697
2024-01-01 00:00:00,N12320368730,785,785,amenity_community_centre,N12320368730
2024-01-01 00:00:00,W234869231,750,750,amenity_place_of_worship,W234869231
2024-01-01 00:00:00,N6983076921,697,697,amenity_place_of_worship,N6983076921
2024-01-01 00:00:00,W326104372,670,670,amenity_school,W326104372
2024-01-01 00:00:00,W235202092,668,668,amenity_place_of_worship,W235202092
2024-01-01 00:00:00,R14122345,654,698,amenity_school,R14122345
2024-01-01 00:00:00,W240952933,649,649,amenity_school,W240952933
2024-01-01 00:00:00,W669536292,645,645,amenity_school,W669536292
2024-01-01 00:00:00,N4387416189,636,636,tourism_hostel,N4387416189
2024-01-01 00:00:00,W105194545,572,572,amenity_place_of_worship,W105194545
2024-01-01 00:00:00,N6983077054,570,691,amenity_place_of_worship,N6983077054
2024-01-01 00:00:00,N6966392387,563,563,amenity_school,N6966392387
2024-01-01 00:00:00,N6440678390,559,686,amenity_community_centre,N6440678390
2024-01-01 00:00:00,R3345778,558,558,amenity_school,R3345778
2024-01-01 00:00:00,W107479057,549,549,tourism_hostel,W107479057
2024-01-01 00:00:00,W491661637,539,539,amenity_place_of_worship,W491661637
2024-01-01 00:00:00,N8193535120,527,574,amenity_school,N8193535120
2024-01-01 00:00:00,W501434757,518,518,amenity_place_of_worship,W501434757
2024-01-01 00:00:00,N9022300655,512,512,amenity_place_of_worship,N9022300655
2024-01-01 00:00:00,W206805801,511,511,amenity_community_centre,W206805801
2024-01-01 00:00:00,W673596733,499,640,amenity_place_of_worship,W673596733
2024-01-01 00:00:00,W665137295,492,492,amenity_school,W665137295
2024-01-01 00:00:00,W241555660,490,492,amenity_school,W241555660
2024-01-01 00:00:00,N6761512186,484,484,amenity_place_of_worship,N6761512186
2024-01-01 00:00:00,W917747587,479,479,amenity_school,W917747587
2024-01-01 00:00:00,W238339922,465,465,amenity_place_of_worship,W238339922
2024-01-01 00:00:00,N5896286796,459,459,amenity_school,N5896286796
2024-01-01 00:00:00,W238346626,446,446,amenity_place_of_worship,W238346626
2024-01-01 00:00:00,W1271562110,446,446,amenity_school,W1271562110
2024-01-01 00:00:00,N6982698422,445,445,amenity_community_centre,N6982698422
2024-01-01 00:00:00,N7436649025,442,442,amenity_community_centre,N7436649025
2024-01-01 00:00:00,N5275415928,428,452,amenity_community_centre,N5275415928
2024-01-01 00:00:00,W451690234,410,810,amenity_school,W451690234
2024-01-01 00:00:00,N12546446888,409,474,amenity_place_of_worship,N12546446888
2024-01-01 00:00:00,W591005766,401,403,amenity_place_of_worship,W591005766
2024-01-01 00:00:00,N7640454184,395,417,amenity_community_centre,N7640454184
2024-01-01 00:00:00,N429614828,377,382,amenity_school,N429614828
2024-01-01 00:00:00,W807744695,365,365,amenity_place_of_worship,W807744695
2024-01-01 00:00:00,N6185449190,362,362,amenity_community_centre,N6185449190
2024-01-01 00:00:00,W1069398433,355,355,amenity_school,W1069398433
2024-01-01 00:00:00,W625092099,354,354,amenity_school,W625092099
2024-01-01 00:00:00,N7376174086,348,348,amenity_community_centre,N7376174086
2024-01-01 00:00:00,N7059561039,344,369,amenity_community_centre,N7059561039
2024-01-01 00:00:00,W500790537,343,358,amenity_place_of_worship,W500790537
2024-01-01 00:00:00,N12093840257,337,627,amenity_place_of_worship,N12093840257
2024-01-01 00:00:00,W626913556,331,331,amenity_community_centre,W626913556
2024-01-01 00:00:00,W170618587,327,327,amenity_school,W170618587
2024-01-01 00:00:00,N10608497648,324,605,amenity_community_centre,N10608497648
2024-01-01 00:00:00,W172129784,323,409,amenity_place_of_worship,W172129784
2024-01-01 00:00:00,W237304697,316,590,amenity_school,W237304697
2024-01-01 00:00:00,W895237727,314,374,amenity_school,W895237727
2024-01-01 00:00:00,W239936602,313,313,amenity_school,W239936602
2024-01-01 00:00:00,N10276287342,310,310,amenity_community_centre,N10276287342
2024-01-01 00:00:00,N12168968464,307,307,amenity_community_centre,N12168968464
2024-01-01 00:00:00,W371577243,299,299,amenity_community_centre,W371577243
2024-01-01 00:00:00,N8324631403,291,349,amenity_school,N8324631403
2024-01-01 00:00:00,W793221126,281,414,amenity_community_centre,W793221126
2024-01-01 00:00:00,W1017804698,280,280,amenity_school,W1017804698
2024-01-01 00:00:00,N12339476211,275,355,amenity_place_of_worship,N12339476211
2024-01-01 00:00:00,N7014954489,273,282,amenity_community_centre,N7014954489
2024-01-01 00:00:00,W564378383,265,265,amenity_school,W564378383
2024-01-01 00:00:00,W793213469,264,279,amenity_community_centre,W793213469
2024-01-01 00:00:00,N4241087798,260,409,amenity_school,N4241087798
2024-01-01 00:00:00,W1303884201,259,343,amenity_school,W1303884201
2024-01-01 00:00:00,W791357215,252,652,amenity_community_centre,W791357215
2024-01-01 00:00:00,N12150054202,250,268,amenity_community_centre,N12150054202
2024-01-01 00:00:00,W810810038,249,249,amenity_school,W810810038
2024-01-01 00:00:00,W1303714225,248,248,amenity_school,W1303714225
2024-01-01 00:00:00,W150151128,243,285,amenity_place_of_worship,W150151128
2024-01-01 00:00:00,W243268908,227,227,amenity_school,W243268908
2024-01-01 00:00:00,W770876875,224,224,amenity_school,W770876875
2024-01-01 00:00:00,W240137891,223,223,amenity_school,W240137891
2024-01-01 00:00:00,W636633639,221,549,amenity_school,W636633639
2024-01-01 00:00:00,N6861151261,220,220,amenity_community_centre,N6861151261
2024-01-01 00:00:00,N9763444399,211,442,amenity_community_centre,N9763444399
2024-01-01 00:00:00,N10300424861,211,375,amenity_place_of_worship,N10300424861
2024-01-01 00:00:00,W824885690,209,209,amenity_school,W824885690
2024-01-01 00:00:00,N7006323121,209,209,amenity_community_centre,N7006323121
2024-01-01 00:00:00,N9797765368,205,593,amenity_place_of_worship,N9797765368
2024-01-01 00:00:00,W239791580,196,196,amenity_place_of_worship,W239791580
2024-01-01 00:00:00,R50077,193,324,amenity_school,R50077
2024-01-01 00:00:00,N3354808793,190,327,tourism_hostel,N3354808793
2024-01-01 00:00:00,W252161842,188,197,amenity_place_of_worship,W252161842
