time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,W328982981,213,213,amenity_school,W328982981
2024-01-01 00:00:00,W211956051,207,207,amenity_place_of_worship,W211956051
2024-01-01 00:00:00,W219863860,201,201,amenity_school,W219863860
2024-01-01 00:00:00,W330517436,188,188,amenity_school,W330517436
2024-01-01 00:00:00,N10754116847,175,175,amenity_place_of_worship,N10754116847
2024-01-01 00:00:00,W54146671,167,167,amenity_school,W54146671
2024-01-01 00:00:00,W243499183,159,159,tourism_hostel,W243499183
2024-01-01 00:00:00,W211930661,153,153,amenity_place_of_worship,W211930661
2024-01-01 00:00:00,W1343101195,151,151,amenity_school,W1343101195
2024-01-01 00:00:00,W55806293,148,148,amenity_school,W55806293
2024-01-01 00:00:00,W126187745,133,133,amenity_school,W126187745
2024-01-01 00:00:00,W187971995,125,125,amenity_place_of_worship,W187971995
2024-01-01 00:00:00,W28576312,113,113,amenity_place_of_worship,W28576312
2024-01-01 00:00:00,W28582100,110,110,amenity_place_of_worship,W28582100
2024-01-01 00:00:00,W117742397,110,110,amenity_place_of_worship,W117742397
2024-01-01 00:00:00,R10396234,104,104,amenity_school,R10396234
2024-01-01 00:00:00,W949368344,102,102,amenity_school,W949368344
2024-01-01 00:00:00,W281548024,101,117,amenity_school,W281548024
2024-01-01 00:00:00,W52245268,101,101,amenity_place_of_worship,W52245268
2024-01-01 00:00:00,W28415187,95,95,amenity_place_of_worship,W28415187
2024-01-01 00:00:00,W89613499,94,94,amenity_school,W89613499
2024-01-01 00:00:00,W929144786,86,86,amenity_school,W929144786
2024-01-01 00:00:00,N9509332223,85,85,amenity_school,N9509332223
2024-01-01 00:00:00,W1343084863,84,84,amenity_school,W1343084863
2024-01-01 00:00:00,N12390428376,83,89,amenity_community_centre,N12390428376
2024-01-01 00:00:00,W1343104075,82,82,amenity_school,W1343104075
2024-01-01 00:00:00,W37253592,77,77,amenity_place_of_worship,W37253592
2024-01-01 00:00:00,N11889165607,75,75,amenity_community_centre,N11889165607
