time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,W370340919,459,459,amenity_place_of_worship,W370340919
2024-01-01 00:00:00,N12235896039,414,414,amenity_community_centre,N12235896039
2024-01-01 00:00:00,W138716157,379,379,amenity_place_of_worship,W138716157
2024-01-01 00:00:00,W38531475,348,348,amenity_school,W38531475
2024-01-01 00:00:00,W137376536,324,324,amenity_place_of_worship,W137376536
2024-01-01 00:00:00,N12307286140,297,297,tourism_hostel,N12307286140
2024-01-01 00:00:00,W139936029,292,292,amenity_place_of_worship,W139936029
2024-01-01 00:00:00,W142945227,281,281,amenity_place_of_worship,W142945227
2024-01-01 00:00:00,R11558454,279,279,amenity_school,R11558454
2024-01-01 00:00:00,N1327949579,274,274,amenity_place_of_worship,N1327949579
2024-01-01 00:00:00,N3667780993,274,274,amenity_school,N3667780993
2024-01-01 00:00:00,N9191801461,272,272,amenity_school,N9191801461
2024-01-01 00:00:00,W144458583,267,267,amenity_place_of_worship,W144458583
2024-01-01 00:00:00,N3667780994,261,261,amenity_school,N3667780994
2024-01-01 00:00:00,W25341097,256,256,amenity_school,W25341097
2024-01-01 00:00:00,W886318943,255,326,amenity_school,W886318943
2024-01-01 00:00:00,N530732632,246,246,amenity_school,N530732632
2024-01-01 00:00:00,N5686045202,246,246,amenity_community_centre,N5686045202
2024-01-01 00:00:00,W142061620,244,244,amenity_place_of_worship,W142061620
2024-01-01 00:00:00,W138952128,241,241,amenity_place_of_worship,W138952128
2024-01-01 00:00:00,W140218160,240,242,amenity_place_of_worship,W140218160
2024-01-01 00:00:00,W887491851,233,233,amenity_school,W887491851
2024-01-01 00:00:00,W721955300,232,232,amenity_school,W721955300
2024-01-01 00:00:00,W139138100,229,229,amenity_place_of_worship,W139138100
2024-01-01 00:00:00,N8865809583,227,227,amenity_community_centre,N8865809583
2024-01-01 00:00:00,N7816908430,218,218,amenity_school,N7816908430
2024-01-01 00:00:00,W672282676,218,218,amenity_school,W672282676
2024-01-01 00:00:00,N11055621372,214,214,amenity_school,N11055621372
2024-01-01 00:00:00,W138698675,205,205,amenity_place_of_worship,W138698675
2024-01-01 00:00:00,N3667781004,203,267,amenity_school,N3667781004
2024-01-01 00:00:00,W140224704,194,194,amenity_school,W140224704
2024-01-01 00:00:00,N7710382260,192,221,amenity_community_centre,N7710382260
2024-01-01 00:00:00,W140067203,191,191,amenity_school,W140067203
2024-01-01 00:00:00,W142945031,190,231,amenity_school,W142945031
2024-01-01 00:00:00,R3529576,186,186,amenity_school,R3529576
2024-01-01 00:00:00,W676967443,184,184,amenity_school,W676967443
2024-01-01 00:00:00,N277111237,176,176,amenity_school,N277111237
2024-01-01 00:00:00,N3884789112,176,189,tourism_hostel,N3884789112
2024-01-01 00:00:00,W141277877,172,218,amenity_place_of_worship,W141277877
2024-01-01 00:00:00,W140067293,171,172,amenity_place_of_worship,W140067293
