time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,W1356344056,144,144,building_school,W1356344056
2024-01-01 00:00:00,W405246937,105,105,amenity_school,W405246937
2024-01-01 00:00:00,N4748850360,101,101,amenity_community_centre,N4748850360
2024-01-01 00:00:00,W582285698,84,84,amenity_place_of_worship,W582285698
2024-01-01 00:00:00,W1088780429,81,81,building_school,W1088780429
2024-01-01 00:00:00,W403994064,76,76,amenity_school,W403994064
2024-01-01 00:00:00,W556299666,75,75,amenity_community_centre,W556299666
2024-01-01 00:00:00,W591000569,74,74,tourism_hostel,W591000569
2024-01-01 00:00:00,W581441400,67,67,amenity_place_of_worship,W581441400
2024-01-01 00:00:00,W582270538,63,63,building_school,W582270538
2024-01-01 00:00:00,W407604948,54,54,amenity_school,W407604948
2024-01-01 00:00:00,W773890552,50,50,amenity_community_centre,W773890552
2024-01-01 00:00:00,W1356344063,48,138,building_school,W1356344063
2024-01-01 00:00:00,W249897413,47,78,building_school,W249897413
2024-01-01 00:00:00,W405040353,45,45,amenity_school,W405040353
2024-01-01 00:00:00,W201902917,44,44,amenity_school,W201902917
2024-01-01 00:00:00,W403995481,40,48,amenity_school,W403995481
2024-01-01 00:00:00,W1087363692,37,61,building_school,W1087363692
2024-01-01 00:00:00,W587504788,36,36,building_school,W587504788
2024-01-01 00:00:00,N4295458590,36,36,tourism_hostel,N4295458590
2024-01-01 00:00:00,W582751877,35,35,amenity_place_of_worship,W582751877
2024-01-01 00:00:00,W1165664101,28,28,amenity_community_centre,W1165664101
2024-01-01 00:00:00,W203091572,26,26,amenity_school,W203091572
2024-01-01 00:00:00,W868884259,26,43,amenity_school,W868884259
2024-01-01 00:00:00,W204647615,25,25,amenity_school,W204647615
2024-01-01 00:00:00,W405213067,25,25,amenity_school,W405213067
2024-01-01 00:00:00,N5455351581,25,25,amenity_place_of_worship,N5455351581
2024-01-01 00:00:00,W582317061,23,23,amenity_community_centre,W582317061
2024-01-01 00:00:00,W502508565,21,21,amenity_place_of_worship,W502508565
2024-01-01 00:00:00,W1088780450,20,23,building_school,W1088780450
2024-01-01 00:00:00,W408073559,20,20,amenity_school,W408073559
2024-01-01 00:00:00,W868215097,18,18,amenity_school,W868215097
2024-01-01 00:00:00,W1184088161,18,18,amenity_community_centre,W1184088161
2024-01-01 00:00:00,W473182259,17,17,amenity_place_of_worship,W473182259
2024-01-01 00:00:00,W582281590,17,32,amenity_place_of_worship,W582281590
2024-01-01 00:00:00,W586995906,15,15,amenity_place_of_worship,W586995906
2024-01-01 00:00:00,W221299489,15,15,amenity_school,W221299489
2024-01-01 00:00:00,W1178709639,15,15,amenity_community_centre,W1178709639
2024-01-01 00:00:00,W405214397,14,14,amenity_school,W405214397
2024-01-01 00:00:00,N11530071669,13,16,tourism_hostel,N11530071669
2024-01-01 00:00:00,W1264787364,13,52,building_school,W1264787364
2024-01-01 00:00:00,N1495130339,12,12,amenity_place_of_worship,N1495130339
2024-01-01 00:00:00,W552413765,12,12,amenity_place_of_worship,W552413765
2024-01-01 00:00:00,W405051471,12,12,amenity_school,W405051471
2024-01-01 00:00:00,W552413766,11,12,amenity_place_of_worship,W552413766
2024-01-01 00:00:00,W407599917,11,11,amenity_school,W407599917
2024-01-01 00:00:00,W1088780426,10,76,building_school,W1088780426
2024-01-01 00:00:00,N12141032529,9,9,amenity_community_centre,N12141032529
2024-01-01 00:00:00,N4893470022,9,9,amenity_place_of_worship,N4893470022
2024-01-01 00:00:00,W582270541,9,55,building_school,W582270541
2024-01-01 00:00:00,W408121222,8,8,amenity_school,W408121222
2024-01-01 00:00:00,W967854784,7,7,building_school,W967854784
2024-01-01 00:00:00,N9520509135,7,31,amenity_place_of_worship,N9520509135
2024-01-01 00:00:00,W1356340262,7,7,building_school,W1356340262
2024-01-01 00:00:00,N60454636,7,7,amenity_place_of_worship,N60454636
2024-01-01 00:00:00,W502655289,6,7,amenity_place_of_worship,W502655289
2024-01-01 00:00:00,N5455349345,6,6,amenity_place_of_worship,N5455349345
2024-01-01 00:00:00,W405054286,6,6,amenity_school,W405054286
2024-01-01 00:00:00,W407836566,6,6,amenity_school,W407836566
2024-01-01 00:00:00,N4403884592,6,6,tourism_hostel,N4403884592
2024-01-01 00:00:00,W1356363034,5,5,building_school,W1356363034
2024-01-01 00:00:00,W1356344058,5,144,building_school,W1356344058
2024-01-01 00:00:00,W1212435178,5,7,amenity_place_of_worship,W1212435178
2024-01-01 00:00:00,W582996176,5,5,amenity_community_centre,W582996176
2024-01-01 00:00:00,W405045292,5,12,amenity_school,W405045292
2024-01-01 00:00:00,W774956942,5,5,amenity_community_centre,W774956942
2024-01-01 00:00:00,W403009434,5,5,amenity_school,W403009434
2024-01-01 00:00:00,W1028560826,5,5,amenity_community_centre,W1028560826
2024-01-01 00:00:00,W457829396,5,5,amenity_place_of_worship,W457829396
2024-01-01 00:00:00,W1178707827,4,4,amenity_community_centre,W1178707827
2024-01-01 00:00:00,W408073163,4,4,amenity_school,W408073163
2024-01-01 00:00:00,W555961043,4,4,building_school,W555961043
2024-01-01 00:00:00,W1087226153,3,6,building_school,W1087226153
2024-01-01 00:00:00,W471879801,3,3,amenity_place_of_worship,W471879801
2024-01-01 00:00:00,W204115188,3,3,amenity_school,W204115188
2024-01-01 00:00:00,N12269172643,3,3,amenity_place_of_worship,N12269172643
2024-01-01 00:00:00,W140545762,2,2,amenity_school,W140545762
2024-01-01 00:00:00,W408101642,2,2,amenity_school,W408101642
2024-01-01 00:00:00,N2122458798,2,2,tourism_hostel,N2122458798
2024-01-01 00:00:00,W1264787363,2,44,building_school,W1264787363
2024-01-01 00:00:00,W967854795,1,1,building_school,W967854795
2024-01-01 00:00:00,W502642920,1,1,amenity_place_of_worship,W502642920
2024-01-01 00:00:00,N1414477777,1,1,amenity_place_of_worship,N1414477777
2024-01-01 00:00:00,W552413767,1,2,amenity_place_of_worship,W552413767
2024-01-01 00:00:00,W967857776,1,1,building_school,W967857776
2024-01-01 00:00:00,W641020869,1,1,amenity_school,W641020869
2024-01-01 00:00:00,W502663322,1,1,amenity_place_of_worship,W502663322
2024-01-01 00:00:00,W409368034,1,1,amenity_school,W409368034
2024-01-01 00:00:00,W403547068,1,9,amenity_school,W403547068
